dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
questions,BundleSheaf,false,5,4,epoch-0,0,0,degree,-0.20422739380223243
questions,BundleSheaf,false,5,4,epoch-0,1,0,degree,0.7712298470424716
questions,BundleSheaf,false,5,4,epoch-0,2,0,degree,0.5505479164801831
questions,BundleSheaf,false,5,4,epoch-0,3,0,degree,0.4705410611314049
questions,BundleSheaf,false,5,4,epoch-0,4,0,degree,0.4713492909867991
questions,BundleSheaf,false,5,4,epoch-0,0,0,betweenness,-0.18933743124781074
questions,BundleSheaf,false,5,4,epoch-0,1,0,betweenness,0.7376971812152584
questions,BundleSheaf,false,5,4,epoch-0,2,0,betweenness,0.5008560628479685
questions,BundleSheaf,false,5,4,epoch-0,3,0,betweenness,0.4227220493952325
questions,BundleSheaf,false,5,4,epoch-0,4,0,betweenness,0.42391954954077704
questions,BundleSheaf,false,5,4,epoch-0,0,0,confidence,-0.035795629756236694
questions,BundleSheaf,false,5,4,epoch-0,1,0,confidence,0.1216259461662595
questions,BundleSheaf,false,5,4,epoch-0,2,0,confidence,0.370962939257066
questions,BundleSheaf,false,5,4,epoch-0,3,0,confidence,0.39285274400058745
questions,BundleSheaf,false,5,4,epoch-0,4,0,confidence,0.39755675530122647
questions,BundleSheaf,false,5,4,epoch-0,0,0,saliency,-0.13048683266219938
questions,BundleSheaf,false,5,4,epoch-0,1,0,saliency,0.4160763442194401
questions,BundleSheaf,false,5,4,epoch-0,2,0,saliency,0.8657852610662785
questions,BundleSheaf,false,5,4,epoch-0,3,0,saliency,0.8835094460448704
questions,BundleSheaf,false,5,4,epoch-0,4,0,saliency,0.8937695633108633
questions,BundleSheaf,false,5,4,epoch-0,0,0,cohens_d_train,0.034069207
questions,BundleSheaf,false,5,4,epoch-0,1,0,cohens_d_train,0.07723435
questions,BundleSheaf,false,5,4,epoch-0,2,0,cohens_d_train,0.01854761
questions,BundleSheaf,false,5,4,epoch-0,3,0,cohens_d_train,0.0023988772
questions,BundleSheaf,false,5,4,epoch-0,4,0,cohens_d_train,0.0028434792
questions,BundleSheaf,false,5,4,epoch-0,0,0,cohens_d_test,0.005337579
questions,BundleSheaf,false,5,4,epoch-0,1,0,cohens_d_test,0.106299356
questions,BundleSheaf,false,5,4,epoch-0,2,0,cohens_d_test,0.058779083
questions,BundleSheaf,false,5,4,epoch-0,3,0,cohens_d_test,0.053874437
questions,BundleSheaf,false,5,4,epoch-0,4,0,cohens_d_test,0.073161185
questions,BundleSheaf,false,5,4,epoch-0,0,1,degree,-0.14179459347239023
questions,BundleSheaf,false,5,4,epoch-0,1,1,degree,0.7750839023891037
questions,BundleSheaf,false,5,4,epoch-0,2,1,degree,0.5502310310654267
questions,BundleSheaf,false,5,4,epoch-0,3,1,degree,0.47569996011988497
questions,BundleSheaf,false,5,4,epoch-0,4,1,degree,0.477344469519632
questions,BundleSheaf,false,5,4,epoch-0,0,1,betweenness,-0.13032188028118508
questions,BundleSheaf,false,5,4,epoch-0,1,1,betweenness,0.7413949903617615
questions,BundleSheaf,false,5,4,epoch-0,2,1,betweenness,0.5002432933317111
questions,BundleSheaf,false,5,4,epoch-0,3,1,betweenness,0.427331894666506
questions,BundleSheaf,false,5,4,epoch-0,4,1,betweenness,0.4290524774957436
questions,BundleSheaf,false,5,4,epoch-0,0,1,confidence,-0.03185376175440173
questions,BundleSheaf,false,5,4,epoch-0,1,1,confidence,0.1303447640845737
questions,BundleSheaf,false,5,4,epoch-0,2,1,confidence,0.37058340712326127
