dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
roman_empire,BundleSheaf,false,5,5,epoch-0,0,0,degree,-0.11064426910240563
roman_empire,BundleSheaf,false,5,5,epoch-0,1,0,degree,0.42056784455674406
roman_empire,BundleSheaf,false,5,5,epoch-0,2,0,degree,0.6665544535571754
roman_empire,BundleSheaf,false,5,5,epoch-0,3,0,degree,0.793192395079658
roman_empire,BundleSheaf,false,5,5,epoch-0,4,0,degree,0.8036029606390185
roman_empire,BundleSheaf,false,5,5,epoch-0,5,0,degree,0.7623666730847524
roman_empire,BundleSheaf,false,5,5,epoch-0,0,0,betweenness,-0.07846087858407991
roman_empire,BundleSheaf,false,5,5,epoch-0,1,0,betweenness,0.29178426643078287
roman_empire,BundleSheaf,false,5,5,epoch-0,2,0,betweenness,0.4486897834615528
roman_empire,BundleSheaf,false,5,5,epoch-0,3,0,betweenness,0.48965892698813457
roman_empire,BundleSheaf,false,5,5,epoch-0,4,0,betweenness,0.4426796898190825
roman_empire,BundleSheaf,false,5,5,epoch-0,5,0,betweenness,0.3923745342621205
roman_empire,BundleSheaf,false,5,5,epoch-0,0,0,confidence,0.011934747178065057
roman_empire,BundleSheaf,false,5,5,epoch-0,1,0,confidence,0.3130078978162632
roman_empire,BundleSheaf,false,5,5,epoch-0,2,0,confidence,0.4480019119228132
roman_empire,BundleSheaf,false,5,5,epoch-0,3,0,confidence,0.5460314751250803
roman_empire,BundleSheaf,false,5,5,epoch-0,4,0,confidence,0.6027189212827515
roman_empire,BundleSheaf,false,5,5,epoch-0,5,0,confidence,0.635646123904635
roman_empire,BundleSheaf,false,5,5,epoch-0,0,0,saliency,-0.06667384839182093
roman_empire,BundleSheaf,false,5,5,epoch-0,1,0,saliency,0.301737242561774
roman_empire,BundleSheaf,false,5,5,epoch-0,2,0,saliency,0.5170678293760322
roman_empire,BundleSheaf,false,5,5,epoch-0,3,0,saliency,0.6859202455366182
roman_empire,BundleSheaf,false,5,5,epoch-0,4,0,saliency,0.7949034686048834
roman_empire,BundleSheaf,false,5,5,epoch-0,5,0,saliency,0.8616891609831736
roman_empire,BundleSheaf,false,5,5,epoch-0,0,0,cohens_d_train,0.21647133
roman_empire,BundleSheaf,false,5,5,epoch-0,1,0,cohens_d_train,0.28609654
roman_empire,BundleSheaf,false,5,5,epoch-0,2,0,cohens_d_train,0.23191465
roman_empire,BundleSheaf,false,5,5,epoch-0,3,0,cohens_d_train,0.14507218
roman_empire,BundleSheaf,false,5,5,epoch-0,4,0,cohens_d_train,0.06841053
roman_empire,BundleSheaf,false,5,5,epoch-0,5,0,cohens_d_train,0.03165839
roman_empire,BundleSheaf,false,5,5,epoch-0,0,0,cohens_d_test,0.2465034
roman_empire,BundleSheaf,false,5,5,epoch-0,1,0,cohens_d_test,0.22884482
roman_empire,BundleSheaf,false,5,5,epoch-0,2,0,cohens_d_test,0.14957677
roman_empire,BundleSheaf,false,5,5,epoch-0,3,0,cohens_d_test,0.07736696
roman_empire,BundleSheaf,false,5,5,epoch-0,4,0,cohens_d_test,0.04371248
roman_empire,BundleSheaf,false,5,5,epoch-0,5,0,cohens_d_test,0.010466663
roman_empire,BundleSheaf,false,5,5,epoch-0,0,1,degree,-0.1260354676288015
roman_empire,BundleSheaf,false,5,5,epoch-0,1,1,degree,0.44356084712574756
roman_empire,BundleSheaf,false,5,5,epoch-0,2,1,degree,0.7052302730898631
roman_empire,BundleSheaf,false,5,5,epoch-0,3,1,degree,0.8217435417172594
roman_empire,BundleSheaf,false,5,5,epoch-0,4,1,degree,0.793676163980587
roman_empire,BundleSheaf,false,5,5,epoch-0,5,1,degree,0.7710838304359172
roman_empire,BundleSheaf,false,5,5,epoch-0,0,1,betweenness,-0.08740177642435025
roman_empire,BundleSheaf,false,5,5,epoch-0,1,1,betweenness,0.3079464422846494
roman_empire,BundleSheaf,false,5,5,epoch-0,2,1,betweenness,0.4750550337735087
roman_empire,BundleSheaf,false,5,5,epoch-0,3,1,betweenness,0.5030458001692573
roman_empire,BundleSheaf,false,5,5,epoch-0,4,1,betweenness,0.4347975788607886
roman_empire,BundleSheaf,false,5,5,epoch-0,5,1,betweenness,0.4037604686521558
roman_empire,BundleSheaf,false,5,5,epoch-0,0,1,confidence,0.02267196083136177
roman_empire,BundleSheaf,false,5,5,epoch-0,1,1,confidence,0.33017391766029375
roman_empire,BundleSheaf,false,5,5,epoch-0,2,1,confidence,0.46591534474895585
roman_empire,BundleSheaf,false,5,5,epoch-0,3,1,confidence,0.5498474189844834
roman_empire,BundleSheaf,false,5,5,epoch-0,4,1,confidence,0.5995575924024096
roman_empire,BundleSheaf,false,5,5,epoch-0,5,1,confidence,0.6196692034838378
roman_empire,BundleSheaf,false,5,5,epoch-0,0,1,saliency,-0.08318702954851849
roman_empire,BundleSheaf,false,5,5,epoch-0,1,1,saliency,0.31279753159494095
roman_empire,BundleSheaf,false,5,5,epoch-0,2,1,saliency,0.5424167685501213
roman_empire,BundleSheaf,false,5,5,epoch-0,3,1,saliency,0.7008271390641302
roman_empire,BundleSheaf,false,5,5,epoch-0,4,1,saliency,0.8174071094181453
roman_empire,BundleSheaf,false,5,5,epoch-0,5,1,saliency,0.8631109053343771
roman_empire,BundleSheaf,false,5,5,epoch-0,0,1,cohens_d_train,0.2165323
roman_empire,BundleSheaf,false,5,5,epoch-0,1,1,cohens_d_train,0.08497878
roman_empire,BundleSheaf,false,5,5,epoch-0,2,1,cohens_d_train,0.02865736
roman_empire,BundleSheaf,false,5,5,epoch-0,3,1,cohens_d_train,0.009422969
roman_empire,BundleSheaf,false,5,5,epoch-0,4,1,cohens_d_train,0.005599267
roman_empire,BundleSheaf,false,5,5,epoch-0,5,1,cohens_d_train,0.038327217
roman_empire,BundleSheaf,false,5,5,epoch-0,0,1,cohens_d_test,0.10740262
roman_empire,BundleSheaf,false,5,5,epoch-0,1,1,cohens_d_test,0.01154037
roman_empire,BundleSheaf,false,5,5,epoch-0,2,1,cohens_d_test,0.027245784
roman_empire,BundleSheaf,false,5,5,epoch-0,3,1,cohens_d_test,0.006176621
roman_empire,BundleSheaf,false,5,5,epoch-0,4,1,cohens_d_test,0.017933538
roman_empire,BundleSheaf,false,5,5,epoch-0,5,1,cohens_d_test,0.0030826468
roman_empire,BundleSheaf,false,5,5,epoch-0,0,2,degree,-0.12093340531738556
roman_empire,BundleSheaf,false,5,5,epoch-0,1,2,degree,0.4313917330308646
roman_empire,BundleSheaf,false,5,5,epoch-0,2,2,degree,0.6952329108930535
roman_empire,BundleSheaf,false,5,5,epoch-0,3,2,degree,0.8232214739657038
roman_empire,BundleSheaf,false,5,5,epoch-0,4,2,degree,0.8310864931052286
roman_empire,BundleSheaf,false,5,5,epoch-0,5,2,degree,0.7534375266563527
roman_empire,BundleSheaf,false,5,5,epoch-0,0,2,betweenness,-0.0865268005686938
roman_empire,BundleSheaf,false,5,5,epoch-0,1,2,betweenness,0.2963153633662474
roman_empire,BundleSheaf,false,5,5,epoch-0,2,2,betweenness,0.4629601842269039
roman_empire,BundleSheaf,false,5,5,epoch-0,3,2,betweenness,0.5077907987152842
roman_empire,BundleSheaf,false,5,5,epoch-0,4,2,betweenness,0.4676272882594374
roman_empire,BundleSheaf,false,5,5,epoch-0,5,2,betweenness,0.3840956538654387
roman_empire,BundleSheaf,false,5,5,epoch-0,0,2,confidence,-0.01085346761885745
roman_empire,BundleSheaf,false,5,5,epoch-0,1,2,confidence,0.2826890283323217
roman_empire,BundleSheaf,false,5,5,epoch-0,2,2,confidence,0.4268346980663698
roman_empire,BundleSheaf,false,5,5,epoch-0,3,2,confidence,0.5131256874629784
roman_empire,BundleSheaf,false,5,5,epoch-0,4,2,confidence,0.5790775621026932
roman_empire,BundleSheaf,false,5,5,epoch-0,5,2,confidence,0.6161778034221941
roman_empire,BundleSheaf,false,5,5,epoch-0,0,2,saliency,-0.09372282646167607
roman_empire,BundleSheaf,false,5,5,epoch-0,1,2,saliency,0.2836598503644714
roman_empire,BundleSheaf,false,5,5,epoch-0,2,2,saliency,0.5094645230294116
roman_empire,BundleSheaf,false,5,5,epoch-0,3,2,saliency,0.6651682239060405
roman_empire,BundleSheaf,false,5,5,epoch-0,4,2,saliency,0.784373368881782
roman_empire,BundleSheaf,false,5,5,epoch-0,5,2,saliency,0.8626094151109568
roman_empire,BundleSheaf,false,5,5,epoch-0,0,2,cohens_d_train,0.0656594
roman_empire,BundleSheaf,false,5,5,epoch-0,1,2,cohens_d_train,0.056511678
roman_empire,BundleSheaf,false,5,5,epoch-0,2,2,cohens_d_train,0.051202353
roman_empire,BundleSheaf,false,5,5,epoch-0,3,2,cohens_d_train,0.06390324
roman_empire,BundleSheaf,false,5,5,epoch-0,4,2,cohens_d_train,0.05455009
roman_empire,BundleSheaf,false,5,5,epoch-0,5,2,cohens_d_train,0.04252058
roman_empire,BundleSheaf,false,5,5,epoch-0,0,2,cohens_d_test,0.17695963
roman_empire,BundleSheaf,false,5,5,epoch-0,1,2,cohens_d_test,0.12492244
roman_empire,BundleSheaf,false,5,5,epoch-0,2,2,cohens_d_test,0.10315813
roman_empire,BundleSheaf,false,5,5,epoch-0,3,2,cohens_d_test,0.11287842
roman_empire,BundleSheaf,false,5,5,epoch-0,4,2,cohens_d_test,0.11543
roman_empire,BundleSheaf,false,5,5,epoch-0,5,2,cohens_d_test,0.112342305
roman_empire,BundleSheaf,false,5,5,epoch-0,0,3,degree,-0.10670317858346212
roman_empire,BundleSheaf,false,5,5,epoch-0,1,3,degree,0.43899101940626645
roman_empire,BundleSheaf,false,5,5,epoch-0,2,3,degree,0.6739095210224983
roman_empire,BundleSheaf,false,5,5,epoch-0,3,3,degree,0.807670895155
roman_empire,BundleSheaf,false,5,5,epoch-0,4,3,degree,0.8215135139159927
roman_empire,BundleSheaf,false,5,5,epoch-0,5,3,degree,0.7798886150017809
roman_empire,BundleSheaf,false,5,5,epoch-0,0,3,betweenness,-0.07017887641884415
roman_empire,BundleSheaf,false,5,5,epoch-0,1,3,betweenness,0.3101079751024448
roman_empire,BundleSheaf,false,5,5,epoch-0,2,3,betweenness,0.4525193646584223
roman_empire,BundleSheaf,false,5,5,epoch-0,3,3,betweenness,0.4894509002588753
roman_empire,BundleSheaf,false,5,5,epoch-0,4,3,betweenness,0.45014422405380994
roman_empire,BundleSheaf,false,5,5,epoch-0,5,3,betweenness,0.39964897379296876
roman_empire,BundleSheaf,false,5,5,epoch-0,0,3,confidence,0.04928731169302829
roman_empire,BundleSheaf,false,5,5,epoch-0,1,3,confidence,0.33971302139234344
roman_empire,BundleSheaf,false,5,5,epoch-0,2,3,confidence,0.4662829164546325
roman_empire,BundleSheaf,false,5,5,epoch-0,3,3,confidence,0.5547092344321648
roman_empire,BundleSheaf,false,5,5,epoch-0,4,3,confidence,0.5926951941810152
roman_empire,BundleSheaf,false,5,5,epoch-0,5,3,confidence,0.605583297478096
roman_empire,BundleSheaf,false,5,5,epoch-0,0,3,saliency,-0.06899694559138321
roman_empire,BundleSheaf,false,5,5,epoch-0,1,3,saliency,0.2961048589944183
roman_empire,BundleSheaf,false,5,5,epoch-0,2,3,saliency,0.5057083664176326
roman_empire,BundleSheaf,false,5,5,epoch-0,3,3,saliency,0.6898063785291587
roman_empire,BundleSheaf,false,5,5,epoch-0,4,3,saliency,0.8039243376878727
