dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
tolokers,BundleSheaf,false,3,4,epoch-0,0,0,degree,-0.10505175559493685
tolokers,BundleSheaf,false,3,4,epoch-0,1,0,degree,0.938708353723273
tolokers,BundleSheaf,false,3,4,epoch-0,2,0,degree,0.9507467289712594
tolokers,BundleSheaf,false,3,4,epoch-0,3,0,degree,0.8669079141201106
tolokers,BundleSheaf,false,3,4,epoch-0,4,0,degree,0.8017046521560363
tolokers,BundleSheaf,false,3,4,epoch-0,0,0,betweenness,-0.12507445404220352
tolokers,BundleSheaf,false,3,4,epoch-0,1,0,betweenness,0.7951066615520123
tolokers,BundleSheaf,false,3,4,epoch-0,2,0,betweenness,0.7786120909268247
tolokers,BundleSheaf,false,3,4,epoch-0,3,0,betweenness,0.7025107177618448
tolokers,BundleSheaf,false,3,4,epoch-0,4,0,betweenness,0.6427864150424543
tolokers,BundleSheaf,false,3,4,epoch-0,0,0,confidence,0.024170468070440414
tolokers,BundleSheaf,false,3,4,epoch-0,1,0,confidence,0.09837983954396977
tolokers,BundleSheaf,false,3,4,epoch-0,2,0,confidence,0.10417473816565086
tolokers,BundleSheaf,false,3,4,epoch-0,3,0,confidence,0.10514091223786876
tolokers,BundleSheaf,false,3,4,epoch-0,4,0,confidence,0.10550070639672156
tolokers,BundleSheaf,false,3,4,epoch-0,0,0,saliency,-0.05167835372845374
tolokers,BundleSheaf,false,3,4,epoch-0,1,0,saliency,0.752661783664921
tolokers,BundleSheaf,false,3,4,epoch-0,2,0,saliency,0.875362826559289
tolokers,BundleSheaf,false,3,4,epoch-0,3,0,saliency,0.9302287187017168
tolokers,BundleSheaf,false,3,4,epoch-0,4,0,saliency,0.9214553859960908
tolokers,BundleSheaf,false,3,4,epoch-0,0,0,cohens_d_train,0.023591595
tolokers,BundleSheaf,false,3,4,epoch-0,1,0,cohens_d_train,0.17831288
tolokers,BundleSheaf,false,3,4,epoch-0,2,0,cohens_d_train,0.1137663
tolokers,BundleSheaf,false,3,4,epoch-0,3,0,cohens_d_train,0.084090784
tolokers,BundleSheaf,false,3,4,epoch-0,4,0,cohens_d_train,0.066487506
tolokers,BundleSheaf,false,3,4,epoch-0,0,0,cohens_d_test,0.013896809
tolokers,BundleSheaf,false,3,4,epoch-0,1,0,cohens_d_test,0.22658469
tolokers,BundleSheaf,false,3,4,epoch-0,2,0,cohens_d_test,0.15760471
tolokers,BundleSheaf,false,3,4,epoch-0,3,0,cohens_d_test,0.13297114
tolokers,BundleSheaf,false,3,4,epoch-0,4,0,cohens_d_test,0.122951865
tolokers,BundleSheaf,false,3,4,epoch-0,0,1,degree,-0.253739987712773
tolokers,BundleSheaf,false,3,4,epoch-0,1,1,degree,0.9408964328151522
tolokers,BundleSheaf,false,3,4,epoch-0,2,1,degree,0.9583051119301889
tolokers,BundleSheaf,false,3,4,epoch-0,3,1,degree,0.9166202712764301
tolokers,BundleSheaf,false,3,4,epoch-0,4,1,degree,0.8907482867414839
tolokers,BundleSheaf,false,3,4,epoch-0,0,1,betweenness,-0.2550410484030847
tolokers,BundleSheaf,false,3,4,epoch-0,1,1,betweenness,0.7932594702949781
tolokers,BundleSheaf,false,3,4,epoch-0,2,1,betweenness,0.7974668523423587
tolokers,BundleSheaf,false,3,4,epoch-0,3,1,betweenness,0.7503002453273139
tolokers,BundleSheaf,false,3,4,epoch-0,4,1,betweenness,0.726782898118553
tolokers,BundleSheaf,false,3,4,epoch-0,0,1,confidence,-0.025911965544095694
tolokers,BundleSheaf,false,3,4,epoch-0,1,1,confidence,0.08693897021202497
tolokers,BundleSheaf,false,3,4,epoch-0,2,1,confidence,0.0931542432846313
tolokers,BundleSheaf,false,3,4,epoch-0,3,1,confidence,0.09408594803939974
tolokers,BundleSheaf,false,3,4,epoch-0,4,1,confidence,0.09431352266129064
tolokers,BundleSheaf,false,3,4,epoch-0,0,1,saliency,-0.12398240101626971
tolokers,BundleSheaf,false,3,4,epoch-0,1,1,saliency,0.7278032952040002
tolokers,BundleSheaf,false,3,4,epoch-0,2,1,saliency,0.8244704436786531
tolokers,BundleSheaf,false,3,4,epoch-0,3,1,saliency,0.8960058730638325
tolokers,BundleSheaf,false,3,4,epoch-0,4,1,saliency,0.9094473902149423
tolokers,BundleSheaf,false,3,4,epoch-0,0,1,cohens_d_train,0.0032078424
tolokers,BundleSheaf,false,3,4,epoch-0,1,1,cohens_d_train,0.1595186
tolokers,BundleSheaf,false,3,4,epoch-0,2,1,cohens_d_train,0.17330974
tolokers,BundleSheaf,false,3,4,epoch-0,3,1,cohens_d_train,0.14742258
tolokers,BundleSheaf,false,3,4,epoch-0,4,1,cohens_d_train,0.11727723
tolokers,BundleSheaf,false,3,4,epoch-0,0,1,cohens_d_test,0.010854565
tolokers,BundleSheaf,false,3,4,epoch-0,1,1,cohens_d_test,0.19368783
tolokers,BundleSheaf,false,3,4,epoch-0,2,1,cohens_d_test,0.22383139
tolokers,BundleSheaf,false,3,4,epoch-0,3,1,cohens_d_test,0.16949321
tolokers,BundleSheaf,false,3,4,epoch-0,4,1,cohens_d_test,0.13224375
tolokers,BundleSheaf,false,3,4,epoch-0,0,2,degree,0.13125590143205626
tolokers,BundleSheaf,false,3,4,epoch-0,1,2,degree,0.9372880559747349
tolokers,BundleSheaf,false,3,4,epoch-0,2,2,degree,0.961516741787076
tolokers,BundleSheaf,false,3,4,epoch-0,3,2,degree,0.8883670067069052
tolokers,BundleSheaf,false,3,4,epoch-0,4,2,degree,0.8452459096556447
tolokers,BundleSheaf,false,3,4,epoch-0,0,2,betweenness,0.0889570870216343
tolokers,BundleSheaf,false,3,4,epoch-0,1,2,betweenness,0.7932242232714553
tolokers,BundleSheaf,false,3,4,epoch-0,2,2,betweenness,0.7978375640974189
tolokers,BundleSheaf,false,3,4,epoch-0,3,2,betweenness,0.7300233427171298
tolokers,BundleSheaf,false,3,4,epoch-0,4,2,betweenness,0.6826889075792767
tolokers,BundleSheaf,false,3,4,epoch-0,0,2,confidence,0.03911804608401886
tolokers,BundleSheaf,false,3,4,epoch-0,1,2,confidence,0.09284372434773226
tolokers,BundleSheaf,false,3,4,epoch-0,2,2,confidence,0.09719669738996436
tolokers,BundleSheaf,false,3,4,epoch-0,3,2,confidence,0.09801005722511766
tolokers,BundleSheaf,false,3,4,epoch-0,4,2,confidence,0.09821898668671235
tolokers,BundleSheaf,false,3,4,epoch-0,0,2,saliency,0.12097947785411191
tolokers,BundleSheaf,false,3,4,epoch-0,1,2,saliency,0.8115059823114531
tolokers,BundleSheaf,false,3,4,epoch-0,2,2,saliency,0.869365553352984
tolokers,BundleSheaf,false,3,4,epoch-0,3,2,saliency,0.8441155642581095
tolokers,BundleSheaf,false,3,4,epoch-0,4,2,saliency,0.8253029281236594
tolokers,BundleSheaf,false,3,4,epoch-0,0,2,cohens_d_train,0.047885105
tolokers,BundleSheaf,false,3,4,epoch-0,1,2,cohens_d_train,0.03929245
tolokers,BundleSheaf,false,3,4,epoch-0,2,2,cohens_d_train,0.06567206
tolokers,BundleSheaf,false,3,4,epoch-0,3,2,cohens_d_train,0.06739993
tolokers,BundleSheaf,false,3,4,epoch-0,4,2,cohens_d_train,0.063569754
tolokers,BundleSheaf,false,3,4,epoch-0,0,2,cohens_d_test,0.088136576
tolokers,BundleSheaf,false,3,4,epoch-0,1,2,cohens_d_test,0.08632848
tolokers,BundleSheaf,false,3,4,epoch-0,2,2,cohens_d_test,0.10368182
tolokers,BundleSheaf,false,3,4,epoch-0,3,2,cohens_d_test,0.10378631
tolokers,BundleSheaf,false,3,4,epoch-0,4,2,cohens_d_test,0.09271524
