dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
wisconsin,BundleSheaf,false,2,2,epoch-0,0,0,degree,-0.07548145901750902
wisconsin,BundleSheaf,false,2,2,epoch-0,1,0,degree,0.5739802573446431
wisconsin,BundleSheaf,false,2,2,epoch-0,2,0,degree,0.5644024523601618
wisconsin,BundleSheaf,false,2,2,epoch-0,0,0,betweenness,-0.10219358001356994
wisconsin,BundleSheaf,false,2,2,epoch-0,1,0,betweenness,0.42191011676171686
wisconsin,BundleSheaf,false,2,2,epoch-0,2,0,betweenness,0.5471644820145567
wisconsin,BundleSheaf,false,2,2,epoch-0,0,0,confidence,0.16498330295960315
wisconsin,BundleSheaf,false,2,2,epoch-0,1,0,confidence,0.4115315543659854
wisconsin,BundleSheaf,false,2,2,epoch-0,2,0,confidence,0.7403322862198012
wisconsin,BundleSheaf,false,2,2,epoch-0,0,0,saliency,0.1610091305376686
wisconsin,BundleSheaf,false,2,2,epoch-0,1,0,saliency,0.44987010996212723
wisconsin,BundleSheaf,false,2,2,epoch-0,2,0,saliency,0.860423938772889
wisconsin,BundleSheaf,false,2,2,epoch-0,0,0,cohens_d_train,0.13452739
wisconsin,BundleSheaf,false,2,2,epoch-0,1,0,cohens_d_train,0.1159905
wisconsin,BundleSheaf,false,2,2,epoch-0,2,0,cohens_d_train,0.26742253
wisconsin,BundleSheaf,false,2,2,epoch-0,0,0,cohens_d_test,0.3930353
wisconsin,BundleSheaf,false,2,2,epoch-0,1,0,cohens_d_test,0.15299481
wisconsin,BundleSheaf,false,2,2,epoch-0,2,0,cohens_d_test,0.17899694
wisconsin,BundleSheaf,false,2,2,epoch-0,0,1,degree,0.010544414540643405
wisconsin,BundleSheaf,false,2,2,epoch-0,1,1,degree,0.5583402258977498
wisconsin,BundleSheaf,false,2,2,epoch-0,2,1,degree,0.5170584994530569
wisconsin,BundleSheaf,false,2,2,epoch-0,0,1,betweenness,-0.05849026922942506
wisconsin,BundleSheaf,false,2,2,epoch-0,1,1,betweenness,0.4191408518587497
wisconsin,BundleSheaf,false,2,2,epoch-0,2,1,betweenness,0.4940690033325403
wisconsin,BundleSheaf,false,2,2,epoch-0,0,1,confidence,-0.042382913880359585
wisconsin,BundleSheaf,false,2,2,epoch-0,1,1,confidence,0.22773907858418846
wisconsin,BundleSheaf,false,2,2,epoch-0,2,1,confidence,0.8027331451716014
