dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,0,0,degree,-0.0013273425113429582
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,1,0,degree,-0.0007892967845248953
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,2,0,degree,0.0030917861794161243
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,3,0,degree,0.003704256665858157
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,4,0,degree,0.0035154944943096137
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,5,0,degree,0.0052895574662880545
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,0,0,betweenness,0.002904208449898586
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,1,0,betweenness,0.003158407765713352
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,2,0,betweenness,0.005715011601786564
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,3,0,betweenness,0.006273506802439792
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,4,0,betweenness,0.006255161366744863
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,5,0,betweenness,0.007177052850590756
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,0,0,confidence,0.020513928477162567
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,1,0,confidence,0.018574707592770967
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,2,0,confidence,0.0237321307319348
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,3,0,confidence,0.023233765722981334
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,4,0,confidence,0.025139188854624014
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,5,0,confidence,0.023100294734122496
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,0,0,saliency,0.0215611130063048
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,1,0,saliency,0.022242832566451216
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,2,0,saliency,0.023669806409202306
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,3,0,saliency,0.024012010075562817
amazon_ratings,GeneralSheaf,true,5,5,epoch-0,4,0,saliency,0.0242728616482878
