dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
citeseer,GeneralSheaf,true,5,4,epoch-0,0,0,degree,0.003226510419787044
citeseer,GeneralSheaf,true,5,4,epoch-0,1,0,degree,0.003171620258071089
citeseer,GeneralSheaf,true,5,4,epoch-0,2,0,degree,0.0032219467516667534
citeseer,GeneralSheaf,true,5,4,epoch-0,3,0,degree,0.0032893329891062677
citeseer,GeneralSheaf,true,5,4,epoch-0,4,0,degree,0.00317794177025609
citeseer,GeneralSheaf,true,5,4,epoch-0,0,0,betweenness,0.013590632196727464
citeseer,GeneralSheaf,true,5,4,epoch-0,1,0,betweenness,0.013565446575816969
citeseer,GeneralSheaf,true,5,4,epoch-0,2,0,betweenness,0.013596410825830102
citeseer,GeneralSheaf,true,5,4,epoch-0,3,0,betweenness,0.013672025429932995
citeseer,GeneralSheaf,true,5,4,epoch-0,4,0,betweenness,0.01355323995582089
citeseer,GeneralSheaf,true,5,4,epoch-0,0,0,confidence,0.07560897153954446
citeseer,GeneralSheaf,true,5,4,epoch-0,1,0,confidence,0.07561011202635905
citeseer,GeneralSheaf,true,5,4,epoch-0,2,0,confidence,0.07571714464051833
citeseer,GeneralSheaf,true,5,4,epoch-0,3,0,confidence,0.07569288367893864
citeseer,GeneralSheaf,true,5,4,epoch-0,4,0,confidence,0.07566016313108559
citeseer,GeneralSheaf,true,5,4,epoch-0,0,0,saliency,-0.18030638901962892
citeseer,GeneralSheaf,true,5,4,epoch-0,1,0,saliency,-0.18031265611872843
citeseer,GeneralSheaf,true,5,4,epoch-0,2,0,saliency,-0.18032385785571736
citeseer,GeneralSheaf,true,5,4,epoch-0,3,0,saliency,-0.1803322309153483
citeseer,GeneralSheaf,true,5,4,epoch-0,4,0,saliency,-0.18038456399536054
citeseer,GeneralSheaf,true,5,4,epoch-0,0,0,cohens_d_train,0.061837967
citeseer,GeneralSheaf,true,5,4,epoch-0,1,0,cohens_d_train,0.061833877
citeseer,GeneralSheaf,true,5,4,epoch-0,2,0,cohens_d_train,0.061773594
citeseer,GeneralSheaf,true,5,4,epoch-0,3,0,cohens_d_train,0.061665796
citeseer,GeneralSheaf,true,5,4,epoch-0,4,0,cohens_d_train,0.06175352
citeseer,GeneralSheaf,true,5,4,epoch-0,0,0,cohens_d_test,0.04258758
citeseer,GeneralSheaf,true,5,4,epoch-0,1,0,cohens_d_test,0.0426188
citeseer,GeneralSheaf,true,5,4,epoch-0,2,0,cohens_d_test,0.042746767
citeseer,GeneralSheaf,true,5,4,epoch-0,3,0,cohens_d_test,0.042878907
citeseer,GeneralSheaf,true,5,4,epoch-0,4,0,cohens_d_test,0.042710334
citeseer,GeneralSheaf,true,5,4,epoch-0,0,1,degree,-0.03267257410849554
citeseer,GeneralSheaf,true,5,4,epoch-0,1,1,degree,-0.03257764563123283
citeseer,GeneralSheaf,true,5,4,epoch-0,2,1,degree,-0.03253008508186835
citeseer,GeneralSheaf,true,5,4,epoch-0,3,1,degree,-0.032605569690589566
citeseer,GeneralSheaf,true,5,4,epoch-0,4,1,degree,-0.032624614168142406
citeseer,GeneralSheaf,true,5,4,epoch-0,0,1,betweenness,-0.01323489162595503
citeseer,GeneralSheaf,true,5,4,epoch-0,1,1,betweenness,-0.01312210946180202
citeseer,GeneralSheaf,true,5,4,epoch-0,2,1,betweenness,-0.013089724823504121
citeseer,GeneralSheaf,true,5,4,epoch-0,3,1,betweenness,-0.013140668815707168
citeseer,GeneralSheaf,true,5,4,epoch-0,4,1,betweenness,-0.013173089625916082
citeseer,GeneralSheaf,true,5,4,epoch-0,0,1,confidence,-0.004920276783583503
citeseer,GeneralSheaf,true,5,4,epoch-0,1,1,confidence,-0.004959228968232257
citeseer,GeneralSheaf,true,5,4,epoch-0,2,1,confidence,-0.004958303950539381
citeseer,GeneralSheaf,true,5,4,epoch-0,3,1,confidence,-0.005099518758025832
citeseer,GeneralSheaf,true,5,4,epoch-0,4,1,confidence,-0.004999560882573897
citeseer,GeneralSheaf,true,5,4,epoch-0,0,1,saliency,0.021908723059717472
citeseer,GeneralSheaf,true,5,4,epoch-0,1,1,saliency,0.021881731500751952
citeseer,GeneralSheaf,true,5,4,epoch-0,2,1,saliency,0.021889463687290268
citeseer,GeneralSheaf,true,5,4,epoch-0,3,1,saliency,0.021885166822333157
citeseer,GeneralSheaf,true,5,4,epoch-0,4,1,saliency,0.021907216054039818
citeseer,GeneralSheaf,true,5,4,epoch-0,0,1,cohens_d_train,0.04732783
citeseer,GeneralSheaf,true,5,4,epoch-0,1,1,cohens_d_train,0.04724522
citeseer,GeneralSheaf,true,5,4,epoch-0,2,1,cohens_d_train,0.04720919
citeseer,GeneralSheaf,true,5,4,epoch-0,3,1,cohens_d_train,0.047225956
citeseer,GeneralSheaf,true,5,4,epoch-0,4,1,cohens_d_train,0.04728252
citeseer,GeneralSheaf,true,5,4,epoch-0,0,1,cohens_d_test,0.046677567
citeseer,GeneralSheaf,true,5,4,epoch-0,1,1,cohens_d_test,0.046648424
citeseer,GeneralSheaf,true,5,4,epoch-0,2,1,cohens_d_test,0.046636205
citeseer,GeneralSheaf,true,5,4,epoch-0,3,1,cohens_d_test,0.04674382
citeseer,GeneralSheaf,true,5,4,epoch-0,4,1,cohens_d_test,0.04650503
citeseer,GeneralSheaf,true,5,4,epoch-0,0,2,degree,-0.05360952446777756
citeseer,GeneralSheaf,true,5,4,epoch-0,1,2,degree,-0.05367993518234087
citeseer,GeneralSheaf,true,5,4,epoch-0,2,2,degree,-0.053693588950712204
citeseer,GeneralSheaf,true,5,4,epoch-0,3,2,degree,-0.05365829121430148
citeseer,GeneralSheaf,true,5,4,epoch-0,4,2,degree,-0.0536226933760186
citeseer,GeneralSheaf,true,5,4,epoch-0,0,2,betweenness,-0.034066524971239485
citeseer,GeneralSheaf,true,5,4,epoch-0,1,2,betweenness,-0.034122038752096344
citeseer,GeneralSheaf,true,5,4,epoch-0,2,2,betweenness,-0.03413810567127615
citeseer,GeneralSheaf,true,5,4,epoch-0,3,2,betweenness,-0.03411369128716998
citeseer,GeneralSheaf,true,5,4,epoch-0,4,2,betweenness,-0.03411136299253971
citeseer,GeneralSheaf,true,5,4,epoch-0,0,2,confidence,-0.04600416431088732
citeseer,GeneralSheaf,true,5,4,epoch-0,1,2,confidence,-0.04602467732797978
citeseer,GeneralSheaf,true,5,4,epoch-0,2,2,confidence,-0.04595477922031972
citeseer,GeneralSheaf,true,5,4,epoch-0,3,2,confidence,-0.04588684059087893
citeseer,GeneralSheaf,true,5,4,epoch-0,4,2,confidence,-0.045892348321056015
citeseer,GeneralSheaf,true,5,4,epoch-0,0,2,saliency,nan
citeseer,GeneralSheaf,true,5,4,epoch-0,1,2,saliency,nan
citeseer,GeneralSheaf,true,5,4,epoch-0,2,2,saliency,nan
citeseer,GeneralSheaf,true,5,4,epoch-0,3,2,saliency,nan
citeseer,GeneralSheaf,true,5,4,epoch-0,4,2,saliency,nan
citeseer,GeneralSheaf,true,5,4,epoch-0,0,2,cohens_d_train,0.11787541
citeseer,GeneralSheaf,true,5,4,epoch-0,1,2,cohens_d_train,0.11789275
citeseer,GeneralSheaf,true,5,4,epoch-0,2,2,cohens_d_train,0.11789519
citeseer,GeneralSheaf,true,5,4,epoch-0,3,2,cohens_d_train,0.11789137
citeseer,GeneralSheaf,true,5,4,epoch-0,4,2,cohens_d_train,0.11791524
citeseer,GeneralSheaf,true,5,4,epoch-0,0,2,cohens_d_test,0.16493389
citeseer,GeneralSheaf,true,5,4,epoch-0,1,2,cohens_d_test,0.1649634
citeseer,GeneralSheaf,true,5,4,epoch-0,2,2,cohens_d_test,0.16501209
citeseer,GeneralSheaf,true,5,4,epoch-0,3,2,cohens_d_test,0.16498336
citeseer,GeneralSheaf,true,5,4,epoch-0,4,2,cohens_d_test,0.16484651
citeseer,GeneralSheaf,true,5,4,epoch-0,0,3,degree,-0.01823700519695784
citeseer,GeneralSheaf,true,5,4,epoch-0,1,3,degree,-0.0181574254406475
citeseer,GeneralSheaf,true,5,4,epoch-0,2,3,degree,-0.018255000789584
citeseer,GeneralSheaf,true,5,4,epoch-0,3,3,degree,-0.01822606173495941
citeseer,GeneralSheaf,true,5,4,epoch-0,4,3,degree,-0.018249183292668877
citeseer,GeneralSheaf,true,5,4,epoch-0,0,3,betweenness,-0.014422298498521464
citeseer,GeneralSheaf,true,5,4,epoch-0,1,3,betweenness,-0.014370747591828879
citeseer,GeneralSheaf,true,5,4,epoch-0,2,3,betweenness,-0.014458153621165024
citeseer,GeneralSheaf,true,5,4,epoch-0,3,3,betweenness,-0.014426291264652563
citeseer,GeneralSheaf,true,5,4,epoch-0,4,3,betweenness,-0.014453282253808195
citeseer,GeneralSheaf,true,5,4,epoch-0,0,3,confidence,0.030901193528857528
