dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
cora,GeneralSheaf,true,5,3,epoch-0,0,0,degree,-0.06843053053596149
cora,GeneralSheaf,true,5,3,epoch-0,1,0,degree,-0.06879576635238706
cora,GeneralSheaf,true,5,3,epoch-0,2,0,degree,-0.06858766048363318
cora,GeneralSheaf,true,5,3,epoch-0,3,0,degree,-0.06798345298410978
cora,GeneralSheaf,true,5,3,epoch-0,0,0,betweenness,-0.057462177587442376
cora,GeneralSheaf,true,5,3,epoch-0,1,0,betweenness,-0.05776637843688186
cora,GeneralSheaf,true,5,3,epoch-0,2,0,betweenness,-0.05756864058837131
cora,GeneralSheaf,true,5,3,epoch-0,3,0,betweenness,-0.05715099172344421
cora,GeneralSheaf,true,5,3,epoch-0,0,0,confidence,0.029618372604806684
cora,GeneralSheaf,true,5,3,epoch-0,1,0,confidence,0.029907788915747864
cora,GeneralSheaf,true,5,3,epoch-0,2,0,confidence,0.03016496741412837
cora,GeneralSheaf,true,5,3,epoch-0,3,0,confidence,0.030380035420824084
cora,GeneralSheaf,true,5,3,epoch-0,0,0,saliency,-0.13067720768760074
cora,GeneralSheaf,true,5,3,epoch-0,1,0,saliency,-0.13071381070770902
cora,GeneralSheaf,true,5,3,epoch-0,2,0,saliency,-0.13062757457266455
cora,GeneralSheaf,true,5,3,epoch-0,3,0,saliency,-0.1304284039377676
cora,GeneralSheaf,true,5,3,epoch-0,0,0,cohens_d_train,0.42698532
cora,GeneralSheaf,true,5,3,epoch-0,1,0,cohens_d_train,0.42704964
cora,GeneralSheaf,true,5,3,epoch-0,2,0,cohens_d_train,0.42747858
cora,GeneralSheaf,true,5,3,epoch-0,3,0,cohens_d_train,0.42770556
cora,GeneralSheaf,true,5,3,epoch-0,0,0,cohens_d_test,0.3659812
cora,GeneralSheaf,true,5,3,epoch-0,1,0,cohens_d_test,0.3654592
cora,GeneralSheaf,true,5,3,epoch-0,2,0,cohens_d_test,0.3657855
cora,GeneralSheaf,true,5,3,epoch-0,3,0,cohens_d_test,0.3669363
cora,GeneralSheaf,true,5,3,epoch-0,0,1,degree,-0.04744653091381627
cora,GeneralSheaf,true,5,3,epoch-0,1,1,degree,-0.04797337090322776
cora,GeneralSheaf,true,5,3,epoch-0,2,1,degree,-0.04769994687183344
cora,GeneralSheaf,true,5,3,epoch-0,3,1,degree,-0.04773931847409229
cora,GeneralSheaf,true,5,3,epoch-0,0,1,betweenness,-0.042244188578112345
cora,GeneralSheaf,true,5,3,epoch-0,1,1,betweenness,-0.04266757200457693
cora,GeneralSheaf,true,5,3,epoch-0,2,1,betweenness,-0.04242941627430578
cora,GeneralSheaf,true,5,3,epoch-0,3,1,betweenness,-0.04244179509849371
cora,GeneralSheaf,true,5,3,epoch-0,0,1,confidence,0.034489151001062826
cora,GeneralSheaf,true,5,3,epoch-0,1,1,confidence,0.03441539852861834
cora,GeneralSheaf,true,5,3,epoch-0,2,1,confidence,0.03430523779270747
cora,GeneralSheaf,true,5,3,epoch-0,3,1,confidence,0.03412464824301909
cora,GeneralSheaf,true,5,3,epoch-0,0,1,saliency,nan
cora,GeneralSheaf,true,5,3,epoch-0,1,1,saliency,nan
cora,GeneralSheaf,true,5,3,epoch-0,2,1,saliency,nan
cora,GeneralSheaf,true,5,3,epoch-0,3,1,saliency,nan
cora,GeneralSheaf,true,5,3,epoch-0,0,1,cohens_d_train,0.0755644
cora,GeneralSheaf,true,5,3,epoch-0,1,1,cohens_d_train,0.07546739
cora,GeneralSheaf,true,5,3,epoch-0,2,1,cohens_d_train,0.075571075
cora,GeneralSheaf,true,5,3,epoch-0,3,1,cohens_d_train,0.07519763
cora,GeneralSheaf,true,5,3,epoch-0,0,1,cohens_d_test,0.12119487
cora,GeneralSheaf,true,5,3,epoch-0,1,1,cohens_d_test,0.12098773
cora,GeneralSheaf,true,5,3,epoch-0,2,1,cohens_d_test,0.12081532
cora,GeneralSheaf,true,5,3,epoch-0,3,1,cohens_d_test,0.1211621
