dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
cornell,GeneralSheaf,true,2,2,epoch-0,0,0,degree,-0.037540123301045496
cornell,GeneralSheaf,true,2,2,epoch-0,1,0,degree,-0.03769365745131152
cornell,GeneralSheaf,true,2,2,epoch-0,2,0,degree,-0.03787073350461835
cornell,GeneralSheaf,true,2,2,epoch-0,0,0,betweenness,-0.06389052619290793
cornell,GeneralSheaf,true,2,2,epoch-0,1,0,betweenness,-0.0641787320670127
cornell,GeneralSheaf,true,2,2,epoch-0,2,0,betweenness,-0.0643285991215472
cornell,GeneralSheaf,true,2,2,epoch-0,0,0,confidence,0.40556558824383754
cornell,GeneralSheaf,true,2,2,epoch-0,1,0,confidence,0.40572811289789756
cornell,GeneralSheaf,true,2,2,epoch-0,2,0,confidence,0.4061236548270555
cornell,GeneralSheaf,true,2,2,epoch-0,0,0,saliency,0.011345390176466442
cornell,GeneralSheaf,true,2,2,epoch-0,1,0,saliency,0.011280771972147597
cornell,GeneralSheaf,true,2,2,epoch-0,2,0,saliency,0.011102582378419872
cornell,GeneralSheaf,true,2,2,epoch-0,0,0,cohens_d_train,0.7880674
cornell,GeneralSheaf,true,2,2,epoch-0,1,0,cohens_d_train,0.78809154
cornell,GeneralSheaf,true,2,2,epoch-0,2,0,cohens_d_train,0.7880721
cornell,GeneralSheaf,true,2,2,epoch-0,0,0,cohens_d_test,0.8712259
cornell,GeneralSheaf,true,2,2,epoch-0,1,0,cohens_d_test,0.8712724
cornell,GeneralSheaf,true,2,2,epoch-0,2,0,cohens_d_test,0.8712227
cornell,GeneralSheaf,true,2,2,epoch-0,0,1,degree,0.04296397304944336
cornell,GeneralSheaf,true,2,2,epoch-0,1,1,degree,0.04281248602118088
cornell,GeneralSheaf,true,2,2,epoch-0,2,1,degree,0.04281248602118088
cornell,GeneralSheaf,true,2,2,epoch-0,0,1,betweenness,-0.0006403410511928013
cornell,GeneralSheaf,true,2,2,epoch-0,1,1,betweenness,-0.0007556234008347132
cornell,GeneralSheaf,true,2,2,epoch-0,2,1,betweenness,-0.0007556234008347132
cornell,GeneralSheaf,true,2,2,epoch-0,0,1,confidence,0.4267644948077351
cornell,GeneralSheaf,true,2,2,epoch-0,1,1,confidence,0.4272031157755799
cornell,GeneralSheaf,true,2,2,epoch-0,2,1,confidence,0.4272031157755799
cornell,GeneralSheaf,true,2,2,epoch-0,0,1,saliency,-0.28983222764405947
cornell,GeneralSheaf,true,2,2,epoch-0,1,1,saliency,-0.2902356018892014
cornell,GeneralSheaf,true,2,2,epoch-0,2,1,saliency,-0.2902356018892014
cornell,GeneralSheaf,true,2,2,epoch-0,0,1,cohens_d_train,nan
cornell,GeneralSheaf,true,2,2,epoch-0,1,1,cohens_d_train,nan
cornell,GeneralSheaf,true,2,2,epoch-0,2,1,cohens_d_train,nan
cornell,GeneralSheaf,true,2,2,epoch-0,0,1,cohens_d_test,nan
cornell,GeneralSheaf,true,2,2,epoch-0,1,1,cohens_d_test,nan
cornell,GeneralSheaf,true,2,2,epoch-0,2,1,cohens_d_test,nan
cornell,GeneralSheaf,true,2,2,epoch-0,0,2,degree,-0.10306133370757363
cornell,GeneralSheaf,true,2,2,epoch-0,1,2,degree,-0.10252191705963898
cornell,GeneralSheaf,true,2,2,epoch-0,2,2,degree,-0.10157717025500203
cornell,GeneralSheaf,true,2,2,epoch-0,0,2,betweenness,-0.04418982066046558
cornell,GeneralSheaf,true,2,2,epoch-0,1,2,betweenness,-0.043649041638508974
cornell,GeneralSheaf,true,2,2,epoch-0,2,2,betweenness,-0.042933243049368734
cornell,GeneralSheaf,true,2,2,epoch-0,0,2,confidence,0.05490398802410739
cornell,GeneralSheaf,true,2,2,epoch-0,1,2,confidence,0.055354357767876596
cornell,GeneralSheaf,true,2,2,epoch-0,2,2,confidence,0.0562825110659053
cornell,GeneralSheaf,true,2,2,epoch-0,0,2,saliency,-0.16560079264997302
cornell,GeneralSheaf,true,2,2,epoch-0,1,2,saliency,-0.1656321226884306
cornell,GeneralSheaf,true,2,2,epoch-0,2,2,saliency,-0.1673963954790755
cornell,GeneralSheaf,true,2,2,epoch-0,0,2,cohens_d_train,nan
cornell,GeneralSheaf,true,2,2,epoch-0,1,2,cohens_d_train,nan
cornell,GeneralSheaf,true,2,2,epoch-0,2,2,cohens_d_train,nan
cornell,GeneralSheaf,true,2,2,epoch-0,0,2,cohens_d_test,nan
cornell,GeneralSheaf,true,2,2,epoch-0,1,2,cohens_d_test,nan
cornell,GeneralSheaf,true,2,2,epoch-0,2,2,cohens_d_test,nan
cornell,GeneralSheaf,true,2,2,epoch-0,0,3,degree,-0.02425532505902702
cornell,GeneralSheaf,true,2,2,epoch-0,1,3,degree,-0.02435870472020615
cornell,GeneralSheaf,true,2,2,epoch-0,2,3,degree,-0.024522474480489914
cornell,GeneralSheaf,true,2,2,epoch-0,0,3,betweenness,0.0781404726300086
cornell,GeneralSheaf,true,2,2,epoch-0,1,3,betweenness,0.07787532322583221
cornell,GeneralSheaf,true,2,2,epoch-0,2,3,betweenness,0.07787427520447185
cornell,GeneralSheaf,true,2,2,epoch-0,0,3,confidence,0.15958738339351314
cornell,GeneralSheaf,true,2,2,epoch-0,1,3,confidence,0.15985368872040293
cornell,GeneralSheaf,true,2,2,epoch-0,2,3,confidence,0.15959717403053114
cornell,GeneralSheaf,true,2,2,epoch-0,0,3,saliency,-0.01673318591890514
cornell,GeneralSheaf,true,2,2,epoch-0,1,3,saliency,-0.01691333372822458
cornell,GeneralSheaf,true,2,2,epoch-0,2,3,saliency,-0.01674297656071598
cornell,GeneralSheaf,true,2,2,epoch-0,0,3,cohens_d_train,0.332035
cornell,GeneralSheaf,true,2,2,epoch-0,1,3,cohens_d_train,0.33200908
cornell,GeneralSheaf,true,2,2,epoch-0,2,3,cohens_d_train,0.33196312
cornell,GeneralSheaf,true,2,2,epoch-0,0,3,cohens_d_test,0.43298838
cornell,GeneralSheaf,true,2,2,epoch-0,1,3,cohens_d_test,0.4330327
cornell,GeneralSheaf,true,2,2,epoch-0,2,3,cohens_d_test,0.43225297
cornell,GeneralSheaf,true,2,2,epoch-0,0,4,degree,0.04393737956212998
cornell,GeneralSheaf,true,2,2,epoch-0,1,4,degree,0.04347575355033012
cornell,GeneralSheaf,true,2,2,epoch-0,2,4,degree,0.043863683170002284
cornell,GeneralSheaf,true,2,2,epoch-0,0,4,betweenness,0.032589272222408094
cornell,GeneralSheaf,true,2,2,epoch-0,1,4,betweenness,0.0322633375793296
cornell,GeneralSheaf,true,2,2,epoch-0,2,4,betweenness,0.03235451543768275
cornell,GeneralSheaf,true,2,2,epoch-0,0,4,confidence,-0.029373926699371562
cornell,GeneralSheaf,true,2,2,epoch-0,1,4,confidence,-0.029422879980318447
cornell,GeneralSheaf,true,2,2,epoch-0,2,4,confidence,-0.029348470993279176
cornell,GeneralSheaf,true,2,2,epoch-0,0,4,saliency,0.07996506699002853
cornell,GeneralSheaf,true,2,2,epoch-0,1,4,saliency,0.08023724683236985
cornell,GeneralSheaf,true,2,2,epoch-0,2,4,saliency,0.07993961132132034
cornell,GeneralSheaf,true,2,2,epoch-0,0,4,cohens_d_train,0.6144247
cornell,GeneralSheaf,true,2,2,epoch-0,1,4,cohens_d_train,0.6146209
cornell,GeneralSheaf,true,2,2,epoch-0,2,4,cohens_d_train,0.61479264
cornell,GeneralSheaf,true,2,2,epoch-0,0,4,cohens_d_test,0.2337217
cornell,GeneralSheaf,true,2,2,epoch-0,1,4,cohens_d_test,0.23390804
cornell,GeneralSheaf,true,2,2,epoch-0,2,4,cohens_d_test,0.23355347
cornell,GeneralSheaf,true,2,2,epoch-0,0,5,degree,0.0404695548881213
cornell,GeneralSheaf,true,2,2,epoch-0,1,5,degree,0.04102432495108255
cornell,GeneralSheaf,true,2,2,epoch-0,2,5,degree,0.040825754116738486
cornell,GeneralSheaf,true,2,2,epoch-0,0,5,betweenness,0.02255341967539948
cornell,GeneralSheaf,true,2,2,epoch-0,1,5,betweenness,0.0227179590289793
cornell,GeneralSheaf,true,2,2,epoch-0,2,5,betweenness,0.022724247157141587
cornell,GeneralSheaf,true,2,2,epoch-0,0,5,confidence,0.0037635227120865586
cornell,GeneralSheaf,true,2,2,epoch-0,1,5,confidence,0.00411696488145785
cornell,GeneralSheaf,true,2,2,epoch-0,2,5,confidence,0.003934858943776243
cornell,GeneralSheaf,true,2,2,epoch-0,0,5,saliency,-0.23262662848971857
cornell,GeneralSheaf,true,2,2,epoch-0,1,5,saliency,-0.23255221961195624
cornell,GeneralSheaf,true,2,2,epoch-0,2,5,saliency,-0.23262858661808075
cornell,GeneralSheaf,true,2,2,epoch-0,0,5,cohens_d_train,nan
cornell,GeneralSheaf,true,2,2,epoch-0,1,5,cohens_d_train,nan
cornell,GeneralSheaf,true,2,2,epoch-0,2,5,cohens_d_train,nan
cornell,GeneralSheaf,true,2,2,epoch-0,0,5,cohens_d_test,nan
cornell,GeneralSheaf,true,2,2,epoch-0,1,5,cohens_d_test,nan
cornell,GeneralSheaf,true,2,2,epoch-0,2,5,cohens_d_test,nan
cornell,GeneralSheaf,true,2,2,epoch-0,0,6,degree,-0.09479198437424538
cornell,GeneralSheaf,true,2,2,epoch-0,1,6,degree,-0.09449617524473285
cornell,GeneralSheaf,true,2,2,epoch-0,2,6,degree,-0.0941379288941121
cornell,GeneralSheaf,true,2,2,epoch-0,0,6,betweenness,-0.03850325675903818
cornell,GeneralSheaf,true,2,2,epoch-0,1,6,betweenness,-0.03821714692765416
cornell,GeneralSheaf,true,2,2,epoch-0,2,6,betweenness,-0.03770571250378822
cornell,GeneralSheaf,true,2,2,epoch-0,0,6,confidence,-0.19768275203057817
cornell,GeneralSheaf,true,2,2,epoch-0,1,6,confidence,-0.19780023967479424
cornell,GeneralSheaf,true,2,2,epoch-0,2,6,confidence,-0.19851691430451232
cornell,GeneralSheaf,true,2,2,epoch-0,0,6,saliency,0.05815246763215402
