dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,0,degree,-0.05701211894740804
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,0,degree,0.045490634078465125
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,0,degree,0.09418409414320009
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,0,degree,0.11598642807102767
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,0,degree,0.1339346735423254
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,0,degree,0.13006206013009255
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,0,degree,0.1304998128001095
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,0,betweenness,0.002100997878565643
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,0,betweenness,0.047291847555559145
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,0,betweenness,0.06802648155259128
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,0,betweenness,0.06897812684605754
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,0,betweenness,0.07503647903931722
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,0,betweenness,0.07123805684644115
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,0,betweenness,0.06996812680861993
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,0,confidence,0.29486675125289374
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,0,confidence,-0.21922784608536217
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,0,confidence,-0.4868002251447055
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,0,confidence,-0.5133150447796684
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,0,confidence,-0.4767740459538263
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,0,confidence,-0.44173818732234166
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,0,confidence,-0.472888376429049
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,0,saliency,0.017308176824528898
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,0,saliency,0.32776983658161346
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,0,saliency,0.3297195162719675
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,0,saliency,0.44476751699700945
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,0,saliency,0.4436483804884552
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,0,saliency,0.4019660804985139
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,0,saliency,0.4008573040613833
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,0,cohens_d_train,0.14516798
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,0,cohens_d_train,0.028112369
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,0,cohens_d_train,0.02114807
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,0,cohens_d_train,0.080852196
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,0,cohens_d_train,0.18523905
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,0,cohens_d_train,0.12952603
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,0,cohens_d_train,0.22498953
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,0,cohens_d_test,0.19574292
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,0,cohens_d_test,0.02775499
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,0,cohens_d_test,0.056126073
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,0,cohens_d_test,0.09098274
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,0,cohens_d_test,0.21720569
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,0,cohens_d_test,0.16281486
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,0,cohens_d_test,0.26628086
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,1,degree,-0.0015163046207575072
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,1,degree,0.10260485450332803
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,1,degree,0.08941618004352725
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,1,degree,0.1414442394383626
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,1,degree,0.16080958298362236
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,1,degree,0.13942556894970842
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,1,degree,0.15310233753292413
