dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
pubmed,GeneralSheaf,true,3,4,epoch-0,0,0,degree,0.0008070959079475128
pubmed,GeneralSheaf,true,3,4,epoch-0,1,0,degree,0.00020116241167590738
pubmed,GeneralSheaf,true,3,4,epoch-0,2,0,degree,-0.00029573172409191753
pubmed,GeneralSheaf,true,3,4,epoch-0,3,0,degree,5.701765420217346e-05
pubmed,GeneralSheaf,true,3,4,epoch-0,4,0,degree,-0.0008222464008939368
pubmed,GeneralSheaf,true,3,4,epoch-0,0,0,betweenness,0.005673675158797576
pubmed,GeneralSheaf,true,3,4,epoch-0,1,0,betweenness,0.005092336294940057
pubmed,GeneralSheaf,true,3,4,epoch-0,2,0,betweenness,0.004605539941210785
pubmed,GeneralSheaf,true,3,4,epoch-0,3,0,betweenness,0.004936925345363403
pubmed,GeneralSheaf,true,3,4,epoch-0,4,0,betweenness,0.004114572764487026
pubmed,GeneralSheaf,true,3,4,epoch-0,0,0,confidence,0.057363464131354576
pubmed,GeneralSheaf,true,3,4,epoch-0,1,0,confidence,0.057674527041255724
pubmed,GeneralSheaf,true,3,4,epoch-0,2,0,confidence,0.057098902148812726
pubmed,GeneralSheaf,true,3,4,epoch-0,3,0,confidence,0.0570457905622104
pubmed,GeneralSheaf,true,3,4,epoch-0,4,0,confidence,0.05724282675491597
pubmed,GeneralSheaf,true,3,4,epoch-0,0,0,saliency,-0.07021386645106137
pubmed,GeneralSheaf,true,3,4,epoch-0,1,0,saliency,-0.07017780098434202
pubmed,GeneralSheaf,true,3,4,epoch-0,2,0,saliency,-0.07026371227743324
pubmed,GeneralSheaf,true,3,4,epoch-0,3,0,saliency,-0.07032503456405598
pubmed,GeneralSheaf,true,3,4,epoch-0,4,0,saliency,-0.07035321605588815
pubmed,GeneralSheaf,true,3,4,epoch-0,0,0,cohens_d_train,0.22484265
pubmed,GeneralSheaf,true,3,4,epoch-0,1,0,cohens_d_train,0.22520265
pubmed,GeneralSheaf,true,3,4,epoch-0,2,0,cohens_d_train,0.2252691
pubmed,GeneralSheaf,true,3,4,epoch-0,3,0,cohens_d_train,0.22526887
pubmed,GeneralSheaf,true,3,4,epoch-0,4,0,cohens_d_train,0.22550587
pubmed,GeneralSheaf,true,3,4,epoch-0,0,0,cohens_d_test,0.23343499
pubmed,GeneralSheaf,true,3,4,epoch-0,1,0,cohens_d_test,0.23344935
pubmed,GeneralSheaf,true,3,4,epoch-0,2,0,cohens_d_test,0.23335716
pubmed,GeneralSheaf,true,3,4,epoch-0,3,0,cohens_d_test,0.2331303
pubmed,GeneralSheaf,true,3,4,epoch-0,4,0,cohens_d_test,0.23317948
pubmed,GeneralSheaf,true,3,4,epoch-0,0,1,degree,-0.03998099092195304
pubmed,GeneralSheaf,true,3,4,epoch-0,1,1,degree,-0.0394194615124695
pubmed,GeneralSheaf,true,3,4,epoch-0,2,1,degree,-0.0388619813301867
pubmed,GeneralSheaf,true,3,4,epoch-0,3,1,degree,-0.038644862207693004
pubmed,GeneralSheaf,true,3,4,epoch-0,4,1,degree,-0.039949619363365975
pubmed,GeneralSheaf,true,3,4,epoch-0,0,1,betweenness,-0.02028495004457883
pubmed,GeneralSheaf,true,3,4,epoch-0,1,1,betweenness,-0.019762568114820266
pubmed,GeneralSheaf,true,3,4,epoch-0,2,1,betweenness,-0.019173592978975026
pubmed,GeneralSheaf,true,3,4,epoch-0,3,1,betweenness,-0.018994858215861506
pubmed,GeneralSheaf,true,3,4,epoch-0,4,1,betweenness,-0.02016671233409173
pubmed,GeneralSheaf,true,3,4,epoch-0,0,1,confidence,-0.15359982878747547
pubmed,GeneralSheaf,true,3,4,epoch-0,1,1,confidence,-0.1540756361508824
pubmed,GeneralSheaf,true,3,4,epoch-0,2,1,confidence,-0.15647550668606844
pubmed,GeneralSheaf,true,3,4,epoch-0,3,1,confidence,-0.1565258693225613
pubmed,GeneralSheaf,true,3,4,epoch-0,4,1,confidence,-0.1569570269236097
pubmed,GeneralSheaf,true,3,4,epoch-0,0,1,saliency,0.041494154658755486
pubmed,GeneralSheaf,true,3,4,epoch-0,1,1,saliency,0.04145417275599686
pubmed,GeneralSheaf,true,3,4,epoch-0,2,1,saliency,0.041264404991714805
pubmed,GeneralSheaf,true,3,4,epoch-0,3,1,saliency,0.041359977206117865
pubmed,GeneralSheaf,true,3,4,epoch-0,4,1,saliency,0.041125636995512874
pubmed,GeneralSheaf,true,3,4,epoch-0,0,1,cohens_d_train,0.24053621
pubmed,GeneralSheaf,true,3,4,epoch-0,1,1,cohens_d_train,0.24090444
pubmed,GeneralSheaf,true,3,4,epoch-0,2,1,cohens_d_train,0.24102564
pubmed,GeneralSheaf,true,3,4,epoch-0,3,1,cohens_d_train,0.24077317
pubmed,GeneralSheaf,true,3,4,epoch-0,4,1,cohens_d_train,0.24083936
pubmed,GeneralSheaf,true,3,4,epoch-0,0,1,cohens_d_test,0.17910838
pubmed,GeneralSheaf,true,3,4,epoch-0,1,1,cohens_d_test,0.17920198
pubmed,GeneralSheaf,true,3,4,epoch-0,2,1,cohens_d_test,0.17979401
pubmed,GeneralSheaf,true,3,4,epoch-0,3,1,cohens_d_test,0.17986138
pubmed,GeneralSheaf,true,3,4,epoch-0,4,1,cohens_d_test,0.17979322
pubmed,GeneralSheaf,true,3,4,epoch-0,0,2,degree,-0.004568302090072293
pubmed,GeneralSheaf,true,3,4,epoch-0,1,2,degree,-0.004887921453918026
pubmed,GeneralSheaf,true,3,4,epoch-0,2,2,degree,-0.004823313607169023
pubmed,GeneralSheaf,true,3,4,epoch-0,3,2,degree,-0.004835884064436518
pubmed,GeneralSheaf,true,3,4,epoch-0,4,2,degree,-0.0045922438735931685
pubmed,GeneralSheaf,true,3,4,epoch-0,0,2,betweenness,0.006637003124451973
pubmed,GeneralSheaf,true,3,4,epoch-0,1,2,betweenness,0.006326638147908083
pubmed,GeneralSheaf,true,3,4,epoch-0,2,2,betweenness,0.006357703741367995
pubmed,GeneralSheaf,true,3,4,epoch-0,3,2,betweenness,0.0063445164002768496
pubmed,GeneralSheaf,true,3,4,epoch-0,4,2,betweenness,0.006598620716500175
pubmed,GeneralSheaf,true,3,4,epoch-0,0,2,confidence,-0.13063864366984504
pubmed,GeneralSheaf,true,3,4,epoch-0,1,2,confidence,-0.13022819976477182
pubmed,GeneralSheaf,true,3,4,epoch-0,2,2,confidence,-0.12987107274293294
pubmed,GeneralSheaf,true,3,4,epoch-0,3,2,confidence,-0.1298812940801961
pubmed,GeneralSheaf,true,3,4,epoch-0,4,2,confidence,-0.12899852594193276
pubmed,GeneralSheaf,true,3,4,epoch-0,0,2,saliency,-0.0027598527836325162
pubmed,GeneralSheaf,true,3,4,epoch-0,1,2,saliency,-0.002752376303866503
pubmed,GeneralSheaf,true,3,4,epoch-0,2,2,saliency,-0.0027935976069269203
pubmed,GeneralSheaf,true,3,4,epoch-0,3,2,saliency,-0.0027930235305872117
pubmed,GeneralSheaf,true,3,4,epoch-0,4,2,saliency,-0.0028017720027200817
pubmed,GeneralSheaf,true,3,4,epoch-0,0,2,cohens_d_train,0.045321476
pubmed,GeneralSheaf,true,3,4,epoch-0,1,2,cohens_d_train,0.04530894
pubmed,GeneralSheaf,true,3,4,epoch-0,2,2,cohens_d_train,0.04561592
pubmed,GeneralSheaf,true,3,4,epoch-0,3,2,cohens_d_train,0.04564497
pubmed,GeneralSheaf,true,3,4,epoch-0,4,2,cohens_d_train,0.04541502
pubmed,GeneralSheaf,true,3,4,epoch-0,0,2,cohens_d_test,0.088802695
pubmed,GeneralSheaf,true,3,4,epoch-0,1,2,cohens_d_test,0.08877057
pubmed,GeneralSheaf,true,3,4,epoch-0,2,2,cohens_d_test,0.088799216
pubmed,GeneralSheaf,true,3,4,epoch-0,3,2,cohens_d_test,0.08879403
pubmed,GeneralSheaf,true,3,4,epoch-0,4,2,cohens_d_test,0.0885971
pubmed,GeneralSheaf,true,3,4,epoch-0,0,3,degree,-0.04300630399795831
pubmed,GeneralSheaf,true,3,4,epoch-0,1,3,degree,-0.043328296018713665
pubmed,GeneralSheaf,true,3,4,epoch-0,2,3,degree,-0.043302373191268305
pubmed,GeneralSheaf,true,3,4,epoch-0,3,3,degree,-0.0425908775675644
pubmed,GeneralSheaf,true,3,4,epoch-0,4,3,degree,-0.04364348030208747
pubmed,GeneralSheaf,true,3,4,epoch-0,0,3,betweenness,-0.032563757291862366
pubmed,GeneralSheaf,true,3,4,epoch-0,1,3,betweenness,-0.03286338366414121
pubmed,GeneralSheaf,true,3,4,epoch-0,2,3,betweenness,-0.032837766686292055
pubmed,GeneralSheaf,true,3,4,epoch-0,3,3,betweenness,-0.032163743590901274
pubmed,GeneralSheaf,true,3,4,epoch-0,4,3,betweenness,-0.0332877328360558
pubmed,GeneralSheaf,true,3,4,epoch-0,0,3,confidence,-0.05785632218420281
pubmed,GeneralSheaf,true,3,4,epoch-0,1,3,confidence,-0.057773874128117214
pubmed,GeneralSheaf,true,3,4,epoch-0,2,3,confidence,-0.057566335943005566
pubmed,GeneralSheaf,true,3,4,epoch-0,3,3,confidence,-0.05692604228458581
pubmed,GeneralSheaf,true,3,4,epoch-0,4,3,confidence,-0.05820374803115518
pubmed,GeneralSheaf,true,3,4,epoch-0,0,3,saliency,-0.027275706463838423
pubmed,GeneralSheaf,true,3,4,epoch-0,1,3,saliency,-0.027425866811678766
pubmed,GeneralSheaf,true,3,4,epoch-0,2,3,saliency,-0.02726610810971642
