dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
questions,GeneralSheaf,true,5,4,epoch-0,0,0,degree,-0.1726565013608099
questions,GeneralSheaf,true,5,4,epoch-0,1,0,degree,-0.16561922880267424
questions,GeneralSheaf,true,5,4,epoch-0,2,0,degree,-0.1529077483924063
questions,GeneralSheaf,true,5,4,epoch-0,3,0,degree,-0.1476958034514478
questions,GeneralSheaf,true,5,4,epoch-0,4,0,degree,-0.14729843356713082
questions,GeneralSheaf,true,5,4,epoch-0,0,0,betweenness,-0.1609528946513294
questions,GeneralSheaf,true,5,4,epoch-0,1,0,betweenness,-0.1538135925392266
questions,GeneralSheaf,true,5,4,epoch-0,2,0,betweenness,-0.1414520362895434
questions,GeneralSheaf,true,5,4,epoch-0,3,0,betweenness,-0.1364070513402282
questions,GeneralSheaf,true,5,4,epoch-0,4,0,betweenness,-0.1359489225442114
questions,GeneralSheaf,true,5,4,epoch-0,0,0,confidence,0.03686837448767869
questions,GeneralSheaf,true,5,4,epoch-0,1,0,confidence,0.03972495752674571
questions,GeneralSheaf,true,5,4,epoch-0,2,0,confidence,0.0388643818548181
questions,GeneralSheaf,true,5,4,epoch-0,3,0,confidence,0.03579915186280632
questions,GeneralSheaf,true,5,4,epoch-0,4,0,confidence,0.03666444475024191
questions,GeneralSheaf,true,5,4,epoch-0,0,0,saliency,-0.1755657679145616
questions,GeneralSheaf,true,5,4,epoch-0,1,0,saliency,-0.1760616672790591
questions,GeneralSheaf,true,5,4,epoch-0,2,0,saliency,-0.17067868130510294
questions,GeneralSheaf,true,5,4,epoch-0,3,0,saliency,-0.1672142977513609
questions,GeneralSheaf,true,5,4,epoch-0,4,0,saliency,-0.1641456836491383
questions,GeneralSheaf,true,5,4,epoch-0,0,0,cohens_d_train,1.0515814
questions,GeneralSheaf,true,5,4,epoch-0,1,0,cohens_d_train,1.051734
questions,GeneralSheaf,true,5,4,epoch-0,2,0,cohens_d_train,1.0599228
questions,GeneralSheaf,true,5,4,epoch-0,3,0,cohens_d_train,1.0638282
