dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
roman_empire,GeneralSheaf,true,5,5,epoch-0,0,0,degree,-0.1194212219138243
roman_empire,GeneralSheaf,true,5,5,epoch-0,1,0,degree,-0.11826752887036245
roman_empire,GeneralSheaf,true,5,5,epoch-0,2,0,degree,-0.11780496051499939
roman_empire,GeneralSheaf,true,5,5,epoch-0,3,0,degree,-0.11687911833332731
roman_empire,GeneralSheaf,true,5,5,epoch-0,4,0,degree,-0.11734668943280623
roman_empire,GeneralSheaf,true,5,5,epoch-0,5,0,degree,-0.11576335165310307
roman_empire,GeneralSheaf,true,5,5,epoch-0,0,0,betweenness,-0.08207564410435117
roman_empire,GeneralSheaf,true,5,5,epoch-0,1,0,betweenness,-0.08078085442868664
roman_empire,GeneralSheaf,true,5,5,epoch-0,2,0,betweenness,-0.08113486735412458
roman_empire,GeneralSheaf,true,5,5,epoch-0,3,0,betweenness,-0.0806130992927882
roman_empire,GeneralSheaf,true,5,5,epoch-0,4,0,betweenness,-0.08180991428392632
roman_empire,GeneralSheaf,true,5,5,epoch-0,5,0,betweenness,-0.08042350450873893
roman_empire,GeneralSheaf,true,5,5,epoch-0,0,0,confidence,0.6536297181672422
roman_empire,GeneralSheaf,true,5,5,epoch-0,1,0,confidence,0.653370242983338
roman_empire,GeneralSheaf,true,5,5,epoch-0,2,0,confidence,0.6537575746388661
roman_empire,GeneralSheaf,true,5,5,epoch-0,3,0,confidence,0.6528994364810884
roman_empire,GeneralSheaf,true,5,5,epoch-0,4,0,confidence,0.6534819369397857
roman_empire,GeneralSheaf,true,5,5,epoch-0,5,0,confidence,0.6524821770139027
roman_empire,GeneralSheaf,true,5,5,epoch-0,0,0,saliency,0.002905926577095561
roman_empire,GeneralSheaf,true,5,5,epoch-0,1,0,saliency,0.006023960831839973
roman_empire,GeneralSheaf,true,5,5,epoch-0,2,0,saliency,0.005669515940233345
roman_empire,GeneralSheaf,true,5,5,epoch-0,3,0,saliency,0.00563974053452486
roman_empire,GeneralSheaf,true,5,5,epoch-0,4,0,saliency,0.003331186709427779
roman_empire,GeneralSheaf,true,5,5,epoch-0,5,0,saliency,0.0036401347634292046
roman_empire,GeneralSheaf,true,5,5,epoch-0,0,0,cohens_d_train,0.43881252
roman_empire,GeneralSheaf,true,5,5,epoch-0,1,0,cohens_d_train,0.43851826
roman_empire,GeneralSheaf,true,5,5,epoch-0,2,0,cohens_d_train,0.43925443
roman_empire,GeneralSheaf,true,5,5,epoch-0,3,0,cohens_d_train,0.43968618
roman_empire,GeneralSheaf,true,5,5,epoch-0,4,0,cohens_d_train,0.44078222
roman_empire,GeneralSheaf,true,5,5,epoch-0,5,0,cohens_d_train,0.4394393
roman_empire,GeneralSheaf,true,5,5,epoch-0,0,0,cohens_d_test,0.36727014
roman_empire,GeneralSheaf,true,5,5,epoch-0,1,0,cohens_d_test,0.36716107
roman_empire,GeneralSheaf,true,5,5,epoch-0,2,0,cohens_d_test,0.36763328
roman_empire,GeneralSheaf,true,5,5,epoch-0,3,0,cohens_d_test,0.3690424
roman_empire,GeneralSheaf,true,5,5,epoch-0,4,0,cohens_d_test,0.3700077
roman_empire,GeneralSheaf,true,5,5,epoch-0,5,0,cohens_d_test,0.36892593
roman_empire,GeneralSheaf,true,5,5,epoch-0,0,1,degree,-0.13441968723466452
roman_empire,GeneralSheaf,true,5,5,epoch-0,1,1,degree,-0.13198268686085954
roman_empire,GeneralSheaf,true,5,5,epoch-0,2,1,degree,-0.12905100529306632
roman_empire,GeneralSheaf,true,5,5,epoch-0,3,1,degree,-0.12738530938365478
roman_empire,GeneralSheaf,true,5,5,epoch-0,4,1,degree,-0.12394543006718722
roman_empire,GeneralSheaf,true,5,5,epoch-0,5,1,degree,-0.1216934497720886
roman_empire,GeneralSheaf,true,5,5,epoch-0,0,1,betweenness,-0.09080331590287251
roman_empire,GeneralSheaf,true,5,5,epoch-0,1,1,betweenness,-0.0890440187796507
roman_empire,GeneralSheaf,true,5,5,epoch-0,2,1,betweenness,-0.08765064515373185
roman_empire,GeneralSheaf,true,5,5,epoch-0,3,1,betweenness,-0.08659916653116768
roman_empire,GeneralSheaf,true,5,5,epoch-0,4,1,betweenness,-0.08469589230017625
roman_empire,GeneralSheaf,true,5,5,epoch-0,5,1,betweenness,-0.0837020031364147
roman_empire,GeneralSheaf,true,5,5,epoch-0,0,1,confidence,0.7150906177250494
roman_empire,GeneralSheaf,true,5,5,epoch-0,1,1,confidence,0.7153297823666719
roman_empire,GeneralSheaf,true,5,5,epoch-0,2,1,confidence,0.7157067197957313
roman_empire,GeneralSheaf,true,5,5,epoch-0,3,1,confidence,0.716244349799982
roman_empire,GeneralSheaf,true,5,5,epoch-0,4,1,confidence,0.7164540647504968
roman_empire,GeneralSheaf,true,5,5,epoch-0,5,1,confidence,0.7163510802627928
roman_empire,GeneralSheaf,true,5,5,epoch-0,0,1,saliency,0.1568247738645996
roman_empire,GeneralSheaf,true,5,5,epoch-0,1,1,saliency,0.1565823094547196
roman_empire,GeneralSheaf,true,5,5,epoch-0,2,1,saliency,0.1565043290003402
roman_empire,GeneralSheaf,true,5,5,epoch-0,3,1,saliency,0.15676936819013793
roman_empire,GeneralSheaf,true,5,5,epoch-0,4,1,saliency,0.15718059972463036
roman_empire,GeneralSheaf,true,5,5,epoch-0,5,1,saliency,0.15695793179745085
roman_empire,GeneralSheaf,true,5,5,epoch-0,0,1,cohens_d_train,0.054424997
roman_empire,GeneralSheaf,true,5,5,epoch-0,1,1,cohens_d_train,0.050885316
roman_empire,GeneralSheaf,true,5,5,epoch-0,2,1,cohens_d_train,0.05256832
roman_empire,GeneralSheaf,true,5,5,epoch-0,3,1,cohens_d_train,0.04804963
roman_empire,GeneralSheaf,true,5,5,epoch-0,4,1,cohens_d_train,0.045967545
roman_empire,GeneralSheaf,true,5,5,epoch-0,5,1,cohens_d_train,0.041346863
roman_empire,GeneralSheaf,true,5,5,epoch-0,0,1,cohens_d_test,0.20348588
roman_empire,GeneralSheaf,true,5,5,epoch-0,1,1,cohens_d_test,0.20055056
roman_empire,GeneralSheaf,true,5,5,epoch-0,2,1,cohens_d_test,0.20274787
roman_empire,GeneralSheaf,true,5,5,epoch-0,3,1,cohens_d_test,0.200079
roman_empire,GeneralSheaf,true,5,5,epoch-0,4,1,cohens_d_test,0.19877383
