dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
tolokers,GeneralSheaf,true,3,4,epoch-0,0,0,degree,0.07545433754802419
tolokers,GeneralSheaf,true,3,4,epoch-0,1,0,degree,0.4223718411641714
tolokers,GeneralSheaf,true,3,4,epoch-0,2,0,degree,0.768997630849889
tolokers,GeneralSheaf,true,3,4,epoch-0,3,0,degree,0.8292983544218959
tolokers,GeneralSheaf,true,3,4,epoch-0,4,0,degree,0.8270416760530126
tolokers,GeneralSheaf,true,3,4,epoch-0,0,0,betweenness,0.03554125759520931
tolokers,GeneralSheaf,true,3,4,epoch-0,1,0,betweenness,0.3415627779003427
tolokers,GeneralSheaf,true,3,4,epoch-0,2,0,betweenness,0.6249307199974579
tolokers,GeneralSheaf,true,3,4,epoch-0,3,0,betweenness,0.6564428489284548
tolokers,GeneralSheaf,true,3,4,epoch-0,4,0,betweenness,0.6708532515730976
tolokers,GeneralSheaf,true,3,4,epoch-0,0,0,confidence,-0.25376099586859097
tolokers,GeneralSheaf,true,3,4,epoch-0,1,0,confidence,0.16968195855230708
tolokers,GeneralSheaf,true,3,4,epoch-0,2,0,confidence,0.27170652227492614
tolokers,GeneralSheaf,true,3,4,epoch-0,3,0,confidence,0.2530289853041394
tolokers,GeneralSheaf,true,3,4,epoch-0,4,0,confidence,0.26075984339886904
tolokers,GeneralSheaf,true,3,4,epoch-0,0,0,saliency,0.07093871250541452
tolokers,GeneralSheaf,true,3,4,epoch-0,1,0,saliency,0.45527408403221636
tolokers,GeneralSheaf,true,3,4,epoch-0,2,0,saliency,0.7328523576786633
tolokers,GeneralSheaf,true,3,4,epoch-0,3,0,saliency,0.7376450284873387
tolokers,GeneralSheaf,true,3,4,epoch-0,4,0,saliency,0.7406223651995745
tolokers,GeneralSheaf,true,3,4,epoch-0,0,0,cohens_d_train,0.123845406
tolokers,GeneralSheaf,true,3,4,epoch-0,1,0,cohens_d_train,0.17230554
tolokers,GeneralSheaf,true,3,4,epoch-0,2,0,cohens_d_train,0.22037819
tolokers,GeneralSheaf,true,3,4,epoch-0,3,0,cohens_d_train,0.2201466
tolokers,GeneralSheaf,true,3,4,epoch-0,4,0,cohens_d_train,0.19671316
tolokers,GeneralSheaf,true,3,4,epoch-0,0,0,cohens_d_test,0.15564828
tolokers,GeneralSheaf,true,3,4,epoch-0,1,0,cohens_d_test,0.16824535
tolokers,GeneralSheaf,true,3,4,epoch-0,2,0,cohens_d_test,0.22863956
tolokers,GeneralSheaf,true,3,4,epoch-0,3,0,cohens_d_test,0.23981367
tolokers,GeneralSheaf,true,3,4,epoch-0,4,0,cohens_d_test,0.21045436
tolokers,GeneralSheaf,true,3,4,epoch-0,0,1,degree,0.06751194335544294
tolokers,GeneralSheaf,true,3,4,epoch-0,1,1,degree,0.5943742443777537
tolokers,GeneralSheaf,true,3,4,epoch-0,2,1,degree,0.6442412586313487
tolokers,GeneralSheaf,true,3,4,epoch-0,3,1,degree,0.8336453850730577
tolokers,GeneralSheaf,true,3,4,epoch-0,4,1,degree,0.8635120986740609
tolokers,GeneralSheaf,true,3,4,epoch-0,0,1,betweenness,0.046981638372166346
tolokers,GeneralSheaf,true,3,4,epoch-0,1,1,betweenness,0.4910613215653119
tolokers,GeneralSheaf,true,3,4,epoch-0,2,1,betweenness,0.5016052579174933
tolokers,GeneralSheaf,true,3,4,epoch-0,3,1,betweenness,0.6816747493614026
tolokers,GeneralSheaf,true,3,4,epoch-0,4,1,betweenness,0.701392751438821
tolokers,GeneralSheaf,true,3,4,epoch-0,0,1,confidence,0.1967439603106858
tolokers,GeneralSheaf,true,3,4,epoch-0,1,1,confidence,0.22463750739769622
tolokers,GeneralSheaf,true,3,4,epoch-0,2,1,confidence,0.15950164445294626
tolokers,GeneralSheaf,true,3,4,epoch-0,3,1,confidence,0.15359872184840487
tolokers,GeneralSheaf,true,3,4,epoch-0,4,1,confidence,0.28771264909695377
tolokers,GeneralSheaf,true,3,4,epoch-0,0,1,saliency,0.056749290135569924
tolokers,GeneralSheaf,true,3,4,epoch-0,1,1,saliency,0.5345211500732236
tolokers,GeneralSheaf,true,3,4,epoch-0,2,1,saliency,0.5807979073753347
tolokers,GeneralSheaf,true,3,4,epoch-0,3,1,saliency,0.736086946122836
tolokers,GeneralSheaf,true,3,4,epoch-0,4,1,saliency,0.7638268533151908
tolokers,GeneralSheaf,true,3,4,epoch-0,0,1,cohens_d_train,0.11919765
tolokers,GeneralSheaf,true,3,4,epoch-0,1,1,cohens_d_train,0.17488138
tolokers,GeneralSheaf,true,3,4,epoch-0,2,1,cohens_d_train,0.1286471
tolokers,GeneralSheaf,true,3,4,epoch-0,3,1,cohens_d_train,0.15658104
tolokers,GeneralSheaf,true,3,4,epoch-0,4,1,cohens_d_train,0.20957193
tolokers,GeneralSheaf,true,3,4,epoch-0,0,1,cohens_d_test,0.11293357
tolokers,GeneralSheaf,true,3,4,epoch-0,1,1,cohens_d_test,0.13920055
tolokers,GeneralSheaf,true,3,4,epoch-0,2,1,cohens_d_test,0.102737494
tolokers,GeneralSheaf,true,3,4,epoch-0,3,1,cohens_d_test,0.11062264
tolokers,GeneralSheaf,true,3,4,epoch-0,4,1,cohens_d_test,0.15345125
tolokers,GeneralSheaf,true,3,4,epoch-0,0,2,degree,-0.19628986958006295
tolokers,GeneralSheaf,true,3,4,epoch-0,1,2,degree,0.21207650978690798
tolokers,GeneralSheaf,true,3,4,epoch-0,2,2,degree,0.5185245535708383
tolokers,GeneralSheaf,true,3,4,epoch-0,3,2,degree,0.7056714430785396
tolokers,GeneralSheaf,true,3,4,epoch-0,4,2,degree,0.8164736778547814
tolokers,GeneralSheaf,true,3,4,epoch-0,0,2,betweenness,-0.2123581197643997
tolokers,GeneralSheaf,true,3,4,epoch-0,1,2,betweenness,0.08612695000024669
tolokers,GeneralSheaf,true,3,4,epoch-0,2,2,betweenness,0.3774993203000996
tolokers,GeneralSheaf,true,3,4,epoch-0,3,2,betweenness,0.5348894161765424
tolokers,GeneralSheaf,true,3,4,epoch-0,4,2,betweenness,0.6393037804981166
tolokers,GeneralSheaf,true,3,4,epoch-0,0,2,confidence,-0.17189841468375872
tolokers,GeneralSheaf,true,3,4,epoch-0,1,2,confidence,0.24551818484612484
tolokers,GeneralSheaf,true,3,4,epoch-0,2,2,confidence,0.4206345482794962
tolokers,GeneralSheaf,true,3,4,epoch-0,3,2,confidence,0.5570509216421937
tolokers,GeneralSheaf,true,3,4,epoch-0,4,2,confidence,0.5658310415313288
tolokers,GeneralSheaf,true,3,4,epoch-0,0,2,saliency,-0.11565464251558025
tolokers,GeneralSheaf,true,3,4,epoch-0,1,2,saliency,0.10636122789080615
tolokers,GeneralSheaf,true,3,4,epoch-0,2,2,saliency,0.35648377187347935
tolokers,GeneralSheaf,true,3,4,epoch-0,3,2,saliency,0.5055060959819974
tolokers,GeneralSheaf,true,3,4,epoch-0,4,2,saliency,0.5911748414732159
tolokers,GeneralSheaf,true,3,4,epoch-0,0,2,cohens_d_train,0.17263682
tolokers,GeneralSheaf,true,3,4,epoch-0,1,2,cohens_d_train,0.2781344
tolokers,GeneralSheaf,true,3,4,epoch-0,2,2,cohens_d_train,0.06009904
tolokers,GeneralSheaf,true,3,4,epoch-0,3,2,cohens_d_train,0.0011900773
tolokers,GeneralSheaf,true,3,4,epoch-0,4,2,cohens_d_train,0.07455855
tolokers,GeneralSheaf,true,3,4,epoch-0,0,2,cohens_d_test,0.20276839
tolokers,GeneralSheaf,true,3,4,epoch-0,1,2,cohens_d_test,0.23884727
tolokers,GeneralSheaf,true,3,4,epoch-0,2,2,cohens_d_test,0.013423767
tolokers,GeneralSheaf,true,3,4,epoch-0,3,2,cohens_d_test,0.029461104
tolokers,GeneralSheaf,true,3,4,epoch-0,4,2,cohens_d_test,0.07687645
tolokers,GeneralSheaf,true,3,4,epoch-0,0,3,degree,-0.32805267428297213
tolokers,GeneralSheaf,true,3,4,epoch-0,1,3,degree,0.16682301300405283
tolokers,GeneralSheaf,true,3,4,epoch-0,2,3,degree,0.4571939537012908
tolokers,GeneralSheaf,true,3,4,epoch-0,3,3,degree,0.7394491528384848
tolokers,GeneralSheaf,true,3,4,epoch-0,4,3,degree,0.6405744037170668
tolokers,GeneralSheaf,true,3,4,epoch-0,0,3,betweenness,-0.34445478619306397
tolokers,GeneralSheaf,true,3,4,epoch-0,1,3,betweenness,0.08683077555859935
tolokers,GeneralSheaf,true,3,4,epoch-0,2,3,betweenness,0.3006539079759264
tolokers,GeneralSheaf,true,3,4,epoch-0,3,3,betweenness,0.5807120620841361
tolokers,GeneralSheaf,true,3,4,epoch-0,4,3,betweenness,0.47070538880057067
tolokers,GeneralSheaf,true,3,4,epoch-0,0,3,confidence,-0.08960377100330764
tolokers,GeneralSheaf,true,3,4,epoch-0,1,3,confidence,0.24921990398834018
tolokers,GeneralSheaf,true,3,4,epoch-0,2,3,confidence,0.3222153180224492
tolokers,GeneralSheaf,true,3,4,epoch-0,3,3,confidence,0.3537326551912641
tolokers,GeneralSheaf,true,3,4,epoch-0,4,3,confidence,0.37889489770940166
tolokers,GeneralSheaf,true,3,4,epoch-0,0,3,saliency,-0.2057298411469235
tolokers,GeneralSheaf,true,3,4,epoch-0,1,3,saliency,0.21551214661745627
tolokers,GeneralSheaf,true,3,4,epoch-0,2,3,saliency,0.4310509923939634
tolokers,GeneralSheaf,true,3,4,epoch-0,3,3,saliency,0.6496065562609534
tolokers,GeneralSheaf,true,3,4,epoch-0,4,3,saliency,0.5910950081238355
tolokers,GeneralSheaf,true,3,4,epoch-0,0,3,cohens_d_train,0.40033278
tolokers,GeneralSheaf,true,3,4,epoch-0,1,3,cohens_d_train,0.23844709
tolokers,GeneralSheaf,true,3,4,epoch-0,2,3,cohens_d_train,0.015580534
tolokers,GeneralSheaf,true,3,4,epoch-0,3,3,cohens_d_train,0.05694484
tolokers,GeneralSheaf,true,3,4,epoch-0,4,3,cohens_d_train,0.018866418
tolokers,GeneralSheaf,true,3,4,epoch-0,0,3,cohens_d_test,0.30631256
tolokers,GeneralSheaf,true,3,4,epoch-0,1,3,cohens_d_test,0.20689727
tolokers,GeneralSheaf,true,3,4,epoch-0,2,3,cohens_d_test,0.009494174
tolokers,GeneralSheaf,true,3,4,epoch-0,3,3,cohens_d_test,0.0059030033
tolokers,GeneralSheaf,true,3,4,epoch-0,4,3,cohens_d_test,0.03128615
tolokers,GeneralSheaf,true,3,4,epoch-0,0,4,degree,-0.08430773571192324
tolokers,GeneralSheaf,true,3,4,epoch-0,1,4,degree,0.37004664726854347
tolokers,GeneralSheaf,true,3,4,epoch-0,2,4,degree,0.7176060274615035
tolokers,GeneralSheaf,true,3,4,epoch-0,3,4,degree,0.7783690593546806
tolokers,GeneralSheaf,true,3,4,epoch-0,4,4,degree,0.7612760106808016
tolokers,GeneralSheaf,true,3,4,epoch-0,0,4,betweenness,-0.10443430280829892
tolokers,GeneralSheaf,true,3,4,epoch-0,1,4,betweenness,0.28290533967417486
tolokers,GeneralSheaf,true,3,4,epoch-0,2,4,betweenness,0.5543316422399207
tolokers,GeneralSheaf,true,3,4,epoch-0,3,4,betweenness,0.6113784677872911
tolokers,GeneralSheaf,true,3,4,epoch-0,4,4,betweenness,0.5932705852835259
tolokers,GeneralSheaf,true,3,4,epoch-0,0,4,confidence,0.05075780426257307
tolokers,GeneralSheaf,true,3,4,epoch-0,1,4,confidence,0.09382234714149458
tolokers,GeneralSheaf,true,3,4,epoch-0,2,4,confidence,0.10258302513443256
tolokers,GeneralSheaf,true,3,4,epoch-0,3,4,confidence,0.08885489265151127
tolokers,GeneralSheaf,true,3,4,epoch-0,4,4,confidence,0.11550491404017192
tolokers,GeneralSheaf,true,3,4,epoch-0,0,4,saliency,-0.11589717843836989
tolokers,GeneralSheaf,true,3,4,epoch-0,1,4,saliency,0.3523774242263809
tolokers,GeneralSheaf,true,3,4,epoch-0,2,4,saliency,0.638622568305876
tolokers,GeneralSheaf,true,3,4,epoch-0,3,4,saliency,0.7004397983365409
tolokers,GeneralSheaf,true,3,4,epoch-0,4,4,saliency,0.6850733140062009
tolokers,GeneralSheaf,true,3,4,epoch-0,0,4,cohens_d_train,0.00311833
tolokers,GeneralSheaf,true,3,4,epoch-0,1,4,cohens_d_train,0.124422476
tolokers,GeneralSheaf,true,3,4,epoch-0,2,4,cohens_d_train,0.15160128
tolokers,GeneralSheaf,true,3,4,epoch-0,3,4,cohens_d_train,0.20618355
tolokers,GeneralSheaf,true,3,4,epoch-0,4,4,cohens_d_train,0.20735902
tolokers,GeneralSheaf,true,3,4,epoch-0,0,4,cohens_d_test,0.018345527
tolokers,GeneralSheaf,true,3,4,epoch-0,1,4,cohens_d_test,0.23144892
tolokers,GeneralSheaf,true,3,4,epoch-0,2,4,cohens_d_test,0.20999758
tolokers,GeneralSheaf,true,3,4,epoch-0,3,4,cohens_d_test,0.25640017
tolokers,GeneralSheaf,true,3,4,epoch-0,4,4,cohens_d_test,0.24372467
tolokers,GeneralSheaf,true,3,4,epoch-0,0,5,degree,-0.007013678004090853
tolokers,GeneralSheaf,true,3,4,epoch-0,1,5,degree,0.22719144293009746
tolokers,GeneralSheaf,true,3,4,epoch-0,2,5,degree,0.6392857521840197
tolokers,GeneralSheaf,true,3,4,epoch-0,3,5,degree,0.8160501222804482
tolokers,GeneralSheaf,true,3,4,epoch-0,4,5,degree,0.8638531371139988
tolokers,GeneralSheaf,true,3,4,epoch-0,0,5,betweenness,0.013871829790806872
tolokers,GeneralSheaf,true,3,4,epoch-0,1,5,betweenness,0.1801389765267199
tolokers,GeneralSheaf,true,3,4,epoch-0,2,5,betweenness,0.5347734811728366
tolokers,GeneralSheaf,true,3,4,epoch-0,3,5,betweenness,0.6715406225773547
tolokers,GeneralSheaf,true,3,4,epoch-0,4,5,betweenness,0.7033806159727485
tolokers,GeneralSheaf,true,3,4,epoch-0,0,5,confidence,0.22745959445902486
tolokers,GeneralSheaf,true,3,4,epoch-0,1,5,confidence,0.200498914291631
tolokers,GeneralSheaf,true,3,4,epoch-0,2,5,confidence,0.37048292210840506
tolokers,GeneralSheaf,true,3,4,epoch-0,3,5,confidence,0.28758876343235745
tolokers,GeneralSheaf,true,3,4,epoch-0,4,5,confidence,0.23522980613417016
tolokers,GeneralSheaf,true,3,4,epoch-0,0,5,saliency,0.07420017898233348
tolokers,GeneralSheaf,true,3,4,epoch-0,1,5,saliency,0.28995208001880685
tolokers,GeneralSheaf,true,3,4,epoch-0,2,5,saliency,0.5918863871543997
tolokers,GeneralSheaf,true,3,4,epoch-0,3,5,saliency,0.6951111917426568
tolokers,GeneralSheaf,true,3,4,epoch-0,4,5,saliency,0.7172390240214288
tolokers,GeneralSheaf,true,3,4,epoch-0,0,5,cohens_d_train,0.4827184
tolokers,GeneralSheaf,true,3,4,epoch-0,1,5,cohens_d_train,0.3977357
tolokers,GeneralSheaf,true,3,4,epoch-0,2,5,cohens_d_train,0.19012803
tolokers,GeneralSheaf,true,3,4,epoch-0,3,5,cohens_d_train,0.07476684
tolokers,GeneralSheaf,true,3,4,epoch-0,4,5,cohens_d_train,0.02375586
tolokers,GeneralSheaf,true,3,4,epoch-0,0,5,cohens_d_test,0.5210559
tolokers,GeneralSheaf,true,3,4,epoch-0,1,5,cohens_d_test,0.38678977
tolokers,GeneralSheaf,true,3,4,epoch-0,2,5,cohens_d_test,0.19353612
tolokers,GeneralSheaf,true,3,4,epoch-0,3,5,cohens_d_test,0.06691514
tolokers,GeneralSheaf,true,3,4,epoch-0,4,5,cohens_d_test,0.012151455
tolokers,GeneralSheaf,true,3,4,epoch-0,0,6,degree,0.019405537498698736
tolokers,GeneralSheaf,true,3,4,epoch-0,1,6,degree,0.3252538752578462
tolokers,GeneralSheaf,true,3,4,epoch-0,2,6,degree,0.5656090860839216
tolokers,GeneralSheaf,true,3,4,epoch-0,3,6,degree,0.6783469218079852
tolokers,GeneralSheaf,true,3,4,epoch-0,4,6,degree,0.5720241295054839
tolokers,GeneralSheaf,true,3,4,epoch-0,0,6,betweenness,-0.012350652672722773
tolokers,GeneralSheaf,true,3,4,epoch-0,1,6,betweenness,0.1755610171983506
tolokers,GeneralSheaf,true,3,4,epoch-0,2,6,betweenness,0.38828149109072224
tolokers,GeneralSheaf,true,3,4,epoch-0,3,6,betweenness,0.5087659205203511
tolokers,GeneralSheaf,true,3,4,epoch-0,4,6,betweenness,0.40912757313992504
tolokers,GeneralSheaf,true,3,4,epoch-0,0,6,confidence,0.3423096604623271
tolokers,GeneralSheaf,true,3,4,epoch-0,1,6,confidence,0.6859197571165175
tolokers,GeneralSheaf,true,3,4,epoch-0,2,6,confidence,0.6078912879528964
tolokers,GeneralSheaf,true,3,4,epoch-0,3,6,confidence,0.5308243092519296
tolokers,GeneralSheaf,true,3,4,epoch-0,4,6,confidence,0.5356495388045766
tolokers,GeneralSheaf,true,3,4,epoch-0,0,6,saliency,0.04315159421587331
tolokers,GeneralSheaf,true,3,4,epoch-0,1,6,saliency,0.4411300470941024
tolokers,GeneralSheaf,true,3,4,epoch-0,2,6,saliency,0.6241401213270289
tolokers,GeneralSheaf,true,3,4,epoch-0,3,6,saliency,0.7124030636261515
tolokers,GeneralSheaf,true,3,4,epoch-0,4,6,saliency,0.6528201912013922
tolokers,GeneralSheaf,true,3,4,epoch-0,0,6,cohens_d_train,0.11224854
tolokers,GeneralSheaf,true,3,4,epoch-0,1,6,cohens_d_train,0.12916525
tolokers,GeneralSheaf,true,3,4,epoch-0,2,6,cohens_d_train,0.08468939
tolokers,GeneralSheaf,true,3,4,epoch-0,3,6,cohens_d_train,0.17421201
tolokers,GeneralSheaf,true,3,4,epoch-0,4,6,cohens_d_train,0.15407492
tolokers,GeneralSheaf,true,3,4,epoch-0,0,6,cohens_d_test,0.029803604
tolokers,GeneralSheaf,true,3,4,epoch-0,1,6,cohens_d_test,0.076548934
tolokers,GeneralSheaf,true,3,4,epoch-0,2,6,cohens_d_test,0.10546448
tolokers,GeneralSheaf,true,3,4,epoch-0,3,6,cohens_d_test,0.16085126
tolokers,GeneralSheaf,true,3,4,epoch-0,4,6,cohens_d_test,0.1322823
tolokers,GeneralSheaf,true,3,4,epoch-0,0,7,degree,-0.38508349166902517
tolokers,GeneralSheaf,true,3,4,epoch-0,1,7,degree,0.14220476225097334
tolokers,GeneralSheaf,true,3,4,epoch-0,2,7,degree,0.6710410781304978
tolokers,GeneralSheaf,true,3,4,epoch-0,3,7,degree,0.7425306164027936
tolokers,GeneralSheaf,true,3,4,epoch-0,4,7,degree,0.7568017202506783
tolokers,GeneralSheaf,true,3,4,epoch-0,0,7,betweenness,-0.38621579095510655
tolokers,GeneralSheaf,true,3,4,epoch-0,1,7,betweenness,0.033332273141563964
tolokers,GeneralSheaf,true,3,4,epoch-0,2,7,betweenness,0.4750262408277997
tolokers,GeneralSheaf,true,3,4,epoch-0,3,7,betweenness,0.5519129775374391
tolokers,GeneralSheaf,true,3,4,epoch-0,4,7,betweenness,0.5642045639623218
tolokers,GeneralSheaf,true,3,4,epoch-0,0,7,confidence,-0.12679789647558085
tolokers,GeneralSheaf,true,3,4,epoch-0,1,7,confidence,-0.22650059789329366
tolokers,GeneralSheaf,true,3,4,epoch-0,2,7,confidence,-0.07543129735672544
tolokers,GeneralSheaf,true,3,4,epoch-0,3,7,confidence,-0.04453223147966591
tolokers,GeneralSheaf,true,3,4,epoch-0,4,7,confidence,0.012486127187188127
tolokers,GeneralSheaf,true,3,4,epoch-0,0,7,saliency,-0.2960227312199942
tolokers,GeneralSheaf,true,3,4,epoch-0,1,7,saliency,0.22669791904068243
tolokers,GeneralSheaf,true,3,4,epoch-0,2,7,saliency,0.6538460149304125
tolokers,GeneralSheaf,true,3,4,epoch-0,3,7,saliency,0.7068245548517248
tolokers,GeneralSheaf,true,3,4,epoch-0,4,7,saliency,0.7125199562839415
tolokers,GeneralSheaf,true,3,4,epoch-0,0,7,cohens_d_train,0.06705214
tolokers,GeneralSheaf,true,3,4,epoch-0,1,7,cohens_d_train,0.16212444
tolokers,GeneralSheaf,true,3,4,epoch-0,2,7,cohens_d_train,0.22587891
tolokers,GeneralSheaf,true,3,4,epoch-0,3,7,cohens_d_train,0.24099605
tolokers,GeneralSheaf,true,3,4,epoch-0,4,7,cohens_d_train,0.2040577
tolokers,GeneralSheaf,true,3,4,epoch-0,0,7,cohens_d_test,0.058397155
tolokers,GeneralSheaf,true,3,4,epoch-0,1,7,cohens_d_test,0.1394142
tolokers,GeneralSheaf,true,3,4,epoch-0,2,7,cohens_d_test,0.180911
tolokers,GeneralSheaf,true,3,4,epoch-0,3,7,cohens_d_test,0.19363192
tolokers,GeneralSheaf,true,3,4,epoch-0,4,7,cohens_d_test,0.17086022
tolokers,GeneralSheaf,true,3,4,epoch-0,0,8,degree,-0.17840821542536603
tolokers,GeneralSheaf,true,3,4,epoch-0,1,8,degree,0.37322215069528053
tolokers,GeneralSheaf,true,3,4,epoch-0,2,8,degree,0.5115719788966533
tolokers,GeneralSheaf,true,3,4,epoch-0,3,8,degree,0.5624453697362796
tolokers,GeneralSheaf,true,3,4,epoch-0,4,8,degree,0.547724392467016
tolokers,GeneralSheaf,true,3,4,epoch-0,0,8,betweenness,-0.17057020694482622
tolokers,GeneralSheaf,true,3,4,epoch-0,1,8,betweenness,0.2838071754900084
tolokers,GeneralSheaf,true,3,4,epoch-0,2,8,betweenness,0.35500249400757594
tolokers,GeneralSheaf,true,3,4,epoch-0,3,8,betweenness,0.4082083271827927
tolokers,GeneralSheaf,true,3,4,epoch-0,4,8,betweenness,0.4154519151508103
tolokers,GeneralSheaf,true,3,4,epoch-0,0,8,confidence,-0.4737741284376847
tolokers,GeneralSheaf,true,3,4,epoch-0,1,8,confidence,-0.3294927383476392
tolokers,GeneralSheaf,true,3,4,epoch-0,2,8,confidence,-0.2587439958572309
tolokers,GeneralSheaf,true,3,4,epoch-0,3,8,confidence,-0.2896923060814939
tolokers,GeneralSheaf,true,3,4,epoch-0,4,8,confidence,-0.358123161763505
tolokers,GeneralSheaf,true,3,4,epoch-0,0,8,saliency,-0.21412164086218788
tolokers,GeneralSheaf,true,3,4,epoch-0,1,8,saliency,0.3154884973666229
tolokers,GeneralSheaf,true,3,4,epoch-0,2,8,saliency,0.4494997830742865
tolokers,GeneralSheaf,true,3,4,epoch-0,3,8,saliency,0.4912662015963271
tolokers,GeneralSheaf,true,3,4,epoch-0,4,8,saliency,0.47176569760474923
tolokers,GeneralSheaf,true,3,4,epoch-0,0,8,cohens_d_train,0.48415005
tolokers,GeneralSheaf,true,3,4,epoch-0,1,8,cohens_d_train,0.6007705
tolokers,GeneralSheaf,true,3,4,epoch-0,2,8,cohens_d_train,0.45832664
tolokers,GeneralSheaf,true,3,4,epoch-0,3,8,cohens_d_train,0.43909892
tolokers,GeneralSheaf,true,3,4,epoch-0,4,8,cohens_d_train,0.48795643
tolokers,GeneralSheaf,true,3,4,epoch-0,0,8,cohens_d_test,0.50192106
tolokers,GeneralSheaf,true,3,4,epoch-0,1,8,cohens_d_test,0.5812108
tolokers,GeneralSheaf,true,3,4,epoch-0,2,8,cohens_d_test,0.42893523
tolokers,GeneralSheaf,true,3,4,epoch-0,3,8,cohens_d_test,0.40434897
tolokers,GeneralSheaf,true,3,4,epoch-0,4,8,cohens_d_test,0.46639684
tolokers,GeneralSheaf,true,3,4,epoch-0,0,9,degree,-0.305665879843982
tolokers,GeneralSheaf,true,3,4,epoch-0,1,9,degree,-0.0033222797334541564
tolokers,GeneralSheaf,true,3,4,epoch-0,2,9,degree,0.6349566682806513
tolokers,GeneralSheaf,true,3,4,epoch-0,3,9,degree,0.7620245609691289
tolokers,GeneralSheaf,true,3,4,epoch-0,4,9,degree,0.778150585833582
tolokers,GeneralSheaf,true,3,4,epoch-0,0,9,betweenness,-0.33902917859911463
