dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,0,degree,-0.1202535451586084
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,0,degree,-0.12057010806079219
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,0,degree,-0.12048386001349791
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,0,betweenness,-0.20623606215449886
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,0,betweenness,-0.20653559828509124
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,0,betweenness,-0.20620014201763295
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,0,confidence,0.4205686519729416
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,0,confidence,0.4207623038913982
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,0,confidence,0.42044889057949025
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,0,saliency,-0.429228041092137
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,0,saliency,-0.42952792982578625
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,0,saliency,-0.429299509997731
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,0,cohens_d_train,0.03933944
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,0,cohens_d_train,0.039678138
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,0,cohens_d_train,0.03975532
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,0,cohens_d_test,1.2599133
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,0,cohens_d_test,1.2613171
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,0,cohens_d_test,1.262838
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,1,degree,0.005048233172952962
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,1,degree,0.004940614492979062
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,1,degree,0.005469370451188648
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,1,betweenness,0.040473094116493864
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,1,betweenness,0.040386677471644206
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,1,betweenness,0.04095155156594579
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,1,confidence,0.054713841124286525
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,1,confidence,0.05474112932466207
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,1,confidence,0.055437024164357016
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,1,saliency,-0.053610401988851496
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,1,saliency,-0.05345062934038167
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,1,saliency,-0.05398602237073312
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,1,cohens_d_train,0.523805
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,1,cohens_d_train,0.5243227
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,1,cohens_d_train,0.5241908
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,1,cohens_d_test,0.5266719
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,1,cohens_d_test,0.5265703
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,1,cohens_d_test,0.5272923
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,2,degree,0.07259175928375312
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,2,degree,0.07330094723631145
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,2,degree,0.07320477841224862
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,2,betweenness,0.12695275727032296
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,2,betweenness,0.1275934618252246
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,2,betweenness,0.12736402756089618
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,2,confidence,-0.19882405437156334
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,2,confidence,-0.1989685436940357
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,2,confidence,-0.19910282593704204
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,2,saliency,-0.08002628726694729
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,2,saliency,-0.08063828556088702
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,2,saliency,-0.08057680180368189
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,2,cohens_d_train,0.17203297
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,2,cohens_d_train,0.17129774
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,2,cohens_d_train,0.17185602
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,2,cohens_d_test,0.47194108
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,2,cohens_d_test,0.47163668
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,2,cohens_d_test,0.4717522
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,3,degree,-0.07898072300002304
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,3,degree,-0.07943095501557351
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,3,degree,-0.07942085389291742
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,3,betweenness,-0.03613745559809636
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,3,betweenness,-0.036768264043770094
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,3,betweenness,-0.03705624274205218
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,3,confidence,-0.26478972640813203
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,3,confidence,-0.26539591306613886
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,3,confidence,-0.26611190718717087
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,3,saliency,-0.36055635057764407
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,3,saliency,-0.360628617437767
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,3,saliency,-0.36095644921756725
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,3,cohens_d_train,1.0513126
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,3,cohens_d_train,1.0512861
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,3,cohens_d_train,1.0517209
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,3,cohens_d_test,0.64211243
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,3,cohens_d_test,0.6414719
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,3,cohens_d_test,0.642036
wisconsin,GeneralSheaf,true,2,2,epoch-0,0,4,degree,0.04469671618299926
wisconsin,GeneralSheaf,true,2,2,epoch-0,1,4,degree,0.043815950549081675
wisconsin,GeneralSheaf,true,2,2,epoch-0,2,4,degree,0.04388919201488535
