combo,criterion,label,bin,n_datasets,n_folds_total,drop_mean,drop_se,total_se,rho_mean,rho_n_positive
masking (mean),conviction,Conviction,1,8,80,0.1422291798826788,0.07740431284256168,0.03637494861154709,0.38636363636363635,6
masking (mean),conviction,Conviction,2,8,80,0.13879070007194722,0.10497679215279086,0.04413328896138057,0.38636363636363635,6
masking (mean),conviction,Conviction,3,8,80,0.1457339274563461,0.22382430766312056,0.09462025336477366,0.38636363636363635,6
masking (mean),conviction,Conviction,4,8,80,0.23168341769129708,0.22262779835879684,0.08166400060520546,0.38636363636363635,6
masking (mean),conviction,Conviction,5,8,80,0.3915509446475389,0.2758694068947585,0.1000683204615663,0.38636363636363635,6
masking (mean),conviction,Conviction,6,8,80,0.42780512514788255,0.2744272125300118,0.10318200958720262,0.38636363636363635,6
masking (mean),conviction,Conviction,7,8,80,0.524716646260696,0.3528476312744318,0.11730906022983753,0.38636363636363635,6
masking (mean),conviction,Conviction,8,8,80,0.612585463751375,0.41196763933854263,0.13537891036497482,0.38636363636363635,6
masking (mean),conviction,Conviction,9,8,80,0.973670264662757,0.4866233754886061,0.16268786635498114,0.38636363636363635,6
masking (mean),conviction,Conviction,10,8,80,2.5454164959470553,0.9701324128305019,0.3019578132564798,0.38636363636363635,6
masking (mean),confidence,Confidence,1,8,80,0.6128753963397648,0.2828419535120548,0.10654975908388088,-0.03181818181818183,5
masking (mean),confidence,Confidence,2,8,80,0.5804842279412856,0.2926561083747259,0.0976432813562596,-0.03181818181818183,5
masking (mean),confidence,Confidence,3,8,80,0.5459864800083325,0.3333662101540307,0.10765054956843398,-0.03181818181818183,5
masking (mean),confidence,Confidence,4,8,80,0.5309455587138701,0.2976588406496951,0.10054364257079315,-0.03181818181818183,5
masking (mean),confidence,Confidence,5,8,80,0.5400291229893649,0.41623647302665717,0.14637914808156496,-0.03181818181818183,5
masking (mean),confidence,Confidence,6,8,80,0.5725759492001394,0.42947421901544497,0.1446933630769233,-0.03181818181818183,5
masking (mean),confidence,Confidence,7,8,80,0.5301293632452824,0.3274278984941541,0.1089073773634916,-0.03181818181818183,5
masking (mean),confidence,Confidence,8,8,80,0.48056956725231204,0.30602403403204004,0.10435928814147133,-0.03181818181818183,5
masking (mean),confidence,Confidence,9,8,80,0.5565083934233632,0.27339146419073485,0.09924392600739876,-0.03181818181818183,5
masking (mean),confidence,Confidence,10,8,80,0.8611931015256645,0.23861323940281365,0.0966442430563367,-0.03181818181818183,5
masking (mean),degree,Degree,1,8,80,0.40786401487411306,0.22595047167393642,0.07506843903786134,0.4984848484848484,7
masking (mean),degree,Degree,2,8,80,0.42910211035347146,0.23406702055581374,0.0767655948190457,0.4984848484848484,7
masking (mean),degree,Degree,3,8,80,0.4229355730872527,0.2612066959592638,0.08855018308479871,0.4984848484848484,7
masking (mean),degree,Degree,4,8,80,0.40836840808876096,0.29430373889525446,0.09853977231256572,0.4984848484848484,7
masking (mean),degree,Degree,5,8,80,0.44434630748254433,0.2828364563742027,0.10282823160388793,0.4984848484848484,7
masking (mean),degree,Degree,6,8,80,0.45948183352694594,0.3001008990079814,0.10269322604991822,0.4984848484848484,7
masking (mean),degree,Degree,7,8,80,0.5509837381535809,0.2723328926719748,0.09299084811674345,0.4984848484848484,7
masking (mean),degree,Degree,8,8,80,0.5202167510995298,0.293232680696021,0.10614556214907604,0.4984848484848484,7
masking (mean),degree,Degree,9,8,80,0.6701583826045485,0.37748931858494644,0.13480296434053252,0.4984848484848484,7
masking (mean),degree,Degree,10,8,80,1.3114196739207626,0.5718908164185561,0.1898641283630453,0.4984848484848484,7
masking (zero),conviction,Conviction,1,8,80,0.059329625005088885,0.055993863678344476,0.03741718828244423,0.44848484848484843,7
masking (zero),conviction,Conviction,2,8,80,0.04396074257352629,0.09857398985236154,0.04834874714782516,0.44848484848484843,7
masking (zero),conviction,Conviction,3,8,80,0.09354690527519736,0.19168857466387704,0.08887607656139854,0.44848484848484843,7
masking (zero),conviction,Conviction,4,8,80,0.15225575550488896,0.19093281713954816,0.0740453293822062,0.44848484848484843,7
masking (zero),conviction,Conviction,5,8,80,0.2669242162113558,0.2850835316319845,0.1070181121487643,0.44848484848484843,7
