combo,criterion,label,bin,n_datasets,n_folds_total,drop_mean,drop_se,total_se,rho_mean,rho_n_positive
masking (mean),conviction,Conviction,1,8,80,0.09883616453184244,0.08708766886626237,0.042003058658923724,0.5712121212121212,7
masking (mean),conviction,Conviction,2,8,80,0.12328328137208741,0.11884548047991557,0.04973645715243034,0.5712121212121212,7
masking (mean),conviction,Conviction,3,8,80,0.22481595219398653,0.15388141343026893,0.061801681435406756,0.5712121212121212,7
masking (mean),conviction,Conviction,4,8,80,0.23286821356639312,0.2220532808512328,0.08446535746258749,0.5712121212121212,7
masking (mean),conviction,Conviction,5,8,80,0.3300912838371829,0.2446341682762243,0.09828013971984144,0.5712121212121212,7
masking (mean),conviction,Conviction,6,8,80,0.4422627581339322,0.27033716336830027,0.0903552858959278,0.5712121212121212,7
masking (mean),conviction,Conviction,7,8,80,0.49650942696819905,0.40206284057486963,0.13550674047014916,0.5712121212121212,7
masking (mean),conviction,Conviction,8,8,80,0.6950491029156194,0.38888595160118633,0.1253379521243537,0.5712121212121212,7
masking (mean),conviction,Conviction,9,8,80,1.084530945510433,0.502584140553072,0.16155861856543907,0.5712121212121212,7
masking (mean),conviction,Conviction,10,8,80,2.5293646890205634,1.0496875395089023,0.32552805273329966,0.5712121212121212,7
masking (mean),confidence,Confidence,1,8,80,0.6128508469323493,0.28283934662561794,0.10655016810378411,-0.03181818181818183,5
masking (mean),confidence,Confidence,2,8,80,0.5804627359506469,0.29265204680697593,0.09764399632767568,-0.03181818181818183,5
masking (mean),confidence,Confidence,3,8,80,0.5459689460532402,0.3333698040402068,0.10765175760231657,-0.03181818181818183,5
masking (mean),confidence,Confidence,4,8,80,0.5309197764993023,0.2976601038535284,0.10054431716463368,-0.03181818181818183,5
masking (mean),confidence,Confidence,5,8,80,0.5400157896057711,0.41623405152615134,0.14637847592679032,-0.03181818181818183,5
masking (mean),confidence,Confidence,6,8,80,0.5725690105853836,0.42947951501838305,0.14469575294848683,-0.03181818181818183,5
masking (mean),confidence,Confidence,7,8,80,0.5301003485516965,0.32742903474675367,0.10890694756441777,-0.03181818181818183,5
masking (mean),confidence,Confidence,8,8,80,0.480565720174114,0.3060186805281347,0.10435746542880521,-0.03181818181818183,5
masking (mean),confidence,Confidence,9,8,80,0.5564861603451053,0.2733938436593581,0.09924525475183535,-0.03181818181818183,5
masking (mean),confidence,Confidence,10,8,80,0.8611943439844542,0.23862050852933617,0.09664769887605772,-0.03181818181818183,5
masking (mean),degree,Degree,1,8,80,0.4078290533637088,0.2259517876764696,0.07506911788467624,0.4984848484848484,7
masking (mean),degree,Degree,2,8,80,0.4290815153748888,0.23406980427881802,0.07676575877657857,0.4984848484848484,7
masking (mean),degree,Degree,3,8,80,0.42291991244506744,0.2612102490377532,0.08855223052063677,0.4984848484848484,7
masking (mean),degree,Degree,4,8,80,0.4083439626479548,0.29429912719858753,0.0985386175326567,0.4984848484848484,7
masking (mean),degree,Degree,5,8,80,0.44433671986920076,0.28283961214272474,0.1028302544907966,0.4984848484848484,7
masking (mean),degree,Degree,6,8,80,0.4594707479023578,0.3001025148738471,0.10269423601419687,0.4984848484848484,7
masking (mean),degree,Degree,7,8,80,0.5509915066717745,0.27232520745275995,0.09298916071599486,0.4984848484848484,7
masking (mean),degree,Degree,8,8,80,0.520188699968844,0.2932363352180569,0.1061453339680692,0.4984848484848484,7
masking (mean),degree,Degree,9,8,80,0.670139038827989,0.3774925635358717,0.13480349963593213,0.4984848484848484,7
masking (mean),degree,Degree,10,8,80,1.3114125447923932,0.5718937549525656,0.18986560854205364,0.4984848484848484,7
masking (zero),conviction,Conviction,1,8,80,0.01765519933097428,0.06444000747538955,0.039170595731326814,0.5454545454545454,7
masking (zero),conviction,Conviction,2,8,80,0.051351558950574486,0.11650209040956594,0.05448110269486655,0.5454545454545454,7
masking (zero),conviction,Conviction,3,8,80,0.12203045822578334,0.11654997093137427,0.0567382875586399,0.5454545454545454,7
masking (zero),conviction,Conviction,4,8,80,0.16207158499255286,0.18680433672812044,0.0735850478252722,0.5454545454545454,7
masking (zero),conviction,Conviction,5,8,80,0.22787750326629957,0.23256846295087194,0.09677510621267271,0.5454545454545454,7
