combo,criterion,label,bin,n_datasets,n_folds_total,drop_mean,drop_se,total_se,rho_mean,rho_n_positive
gating (hard),conviction,Conviction,1,8,80,0.17978020701032532,0.08820315207864743,0.04119545786413059,0.6060606060606061,8
gating (hard),conviction,Conviction,2,8,80,0.2221574963165741,0.13792563887176648,0.059988997647462,0.6060606060606061,8
gating (hard),conviction,Conviction,3,8,80,0.25454598758521685,0.23554011176424505,0.09455976545070009,0.6060606060606061,8
gating (hard),conviction,Conviction,4,8,80,0.38585591604753716,0.31903565625598534,0.11166496837789824,0.6060606060606061,8
gating (hard),conviction,Conviction,5,8,80,0.587454530596904,0.34629060965809094,0.11804278620743004,0.6060606060606061,8
gating (hard),conviction,Conviction,6,8,80,0.6279508644609757,0.38044080885597403,0.12806820646892578,0.6060606060606061,8
gating (hard),conviction,Conviction,7,8,80,0.7015187967993826,0.40905974556778724,0.13012777530701325,0.6060606060606061,8
gating (hard),conviction,Conviction,8,8,80,0.8664599734101321,0.4462565221842463,0.15016425596263727,0.6060606060606061,8
gating (hard),conviction,Conviction,9,8,80,1.074275354998282,0.5100651024786422,0.16378610589621004,0.6060606060606061,8
gating (hard),conviction,Conviction,10,8,80,2.7653782857534743,0.6629669877020572,0.23086747793858747,0.6060606060606061,8
gating (hard),confidence,Confidence,1,8,80,0.6272542127970766,0.29470323723387715,0.1059252271298297,0.2787878787878788,5
gating (hard),confidence,Confidence,2,8,80,0.6146970746196339,0.29728479900891414,0.10274801051290777,0.2787878787878788,5
gating (hard),confidence,Confidence,3,8,80,0.6071336033818663,0.36948353304721854,0.12283867190012844,0.2787878787878788,5
gating (hard),confidence,Confidence,4,8,80,0.5982405580968171,0.3472331309655637,0.11362015993003498,0.2787878787878788,5
gating (hard),confidence,Confidence,5,8,80,0.7709902800307199,0.4592681445777487,0.15232305421565043,0.2787878787878788,5
gating (hard),confidence,Confidence,6,8,80,0.7554857517126199,0.4863747424258727,0.1546864729188205,0.2787878787878788,5
gating (hard),confidence,Confidence,7,8,80,0.6985949542401544,0.3768393570666682,0.12210605696526766,0.2787878787878788,5
gating (hard),confidence,Confidence,8,8,80,0.699430821270201,0.35090943013002646,0.11627940910304328,0.2787878787878788,5
gating (hard),confidence,Confidence,9,8,80,0.790589295932894,0.3164634353179712,0.11376248559947247,0.2787878787878788,5
gating (hard),confidence,Confidence,10,8,80,1.223854752891711,0.29414510805705757,0.11291659944356959,0.2787878787878788,5
gating (hard),degree,Degree,1,8,80,0.5746864501660782,0.26931355225710685,0.08734722697645507,0.40606060606060607,6
gating (hard),degree,Degree,2,8,80,0.5896361821527353,0.29473931319772895,0.09619003332208109,0.40606060606060607,6
gating (hard),degree,Degree,3,8,80,0.5572778208744213,0.34060780253560197,0.1111714329454226,0.40606060606060607,6
gating (hard),degree,Degree,4,8,80,0.539306239667813,0.3313788014367172,0.10573967766779475,0.40606060606060607,6
gating (hard),degree,Degree,5,8,80,0.511814315745962,0.3548316332844145,0.11464696473016152,0.40606060606060607,6
gating (hard),degree,Degree,6,8,80,0.5213669537968553,0.35635985874182,0.11766330916131655,0.40606060606060607,6
gating (hard),degree,Degree,7,8,80,0.6559412647952274,0.31849784394647324,0.10723387264904168,0.40606060606060607,6
gating (hard),degree,Degree,8,8,80,0.5602064517664862,0.31807750387190975,0.11092109019246531,0.40606060606060607,6
gating (hard),degree,Degree,9,8,80,0.7535140270765108,0.3696244188090747,0.13610368818316618,0.40606060606060607,6
gating (hard),degree,Degree,10,8,80,1.9174452891759382,0.4483911974946089,0.16367381956161603,0.40606060606060607,6
masking (mean),conviction,Conviction,1,8,80,0.1454840987716341,0.0959144730233637,0.046487322546396856,0.41666666666666663,7
masking (mean),conviction,Conviction,2,8,80,0.20085405703842668,0.08177275973493926,0.04129478331397738,0.41666666666666663,7
masking (mean),conviction,Conviction,3,8,80,0.13467176463084496,0.2144321526075254,0.09028675527137048,0.41666666666666663,7
masking (mean),conviction,Conviction,4,8,80,0.25793979638436293,0.2805803562840065,0.10703826866036743,0.41666666666666663,7
masking (mean),conviction,Conviction,5,8,80,0.4437763717554031,0.2658747174460672,0.09172067448073552,0.41666666666666663,7
masking (mean),conviction,Conviction,6,8,80,0.4670439837487916,0.29601621113204707,0.11300024769950263,0.41666666666666663,7
masking (mean),conviction,Conviction,7,8,80,0.6025040720510201,0.34172066777970145,0.1150490997927888,0.41666666666666663,7
masking (mean),conviction,Conviction,8,8,80,0.660107025001875,0.4296404309413281,0.1480914376055699,0.41666666666666663,7
masking (mean),conviction,Conviction,9,8,80,0.9429176298907114,0.4675930461648955,0.14905012750493116,0.41666666666666663,7
masking (mean),conviction,Conviction,10,8,80,2.1945184337805106,0.7228630642021546,0.23826910740354165,0.41666666666666663,7
masking (mean),confidence,Confidence,1,8,80,0.6128590819185961,0.28284787249007864,0.10655278210541,-0.03181818181818183,5
masking (mean),confidence,Confidence,2,8,80,0.5804882237738314,0.2926547176953094,0.09764425823755996,-0.03181818181818183,5
masking (mean),confidence,Confidence,3,8,80,0.5460157291011198,0.3333653765528033,0.10765022189815239,-0.03181818181818183,5
masking (mean),confidence,Confidence,4,8,80,0.5309423785831814,0.29766130693109044,0.10054462686196165,-0.03181818181818183,5
masking (mean),confidence,Confidence,5,8,80,0.5400382231333334,0.4162438702640757,0.14638108317918716,-0.03181818181818183,5
masking (mean),confidence,Confidence,6,8,80,0.5725744442993771,0.4294805891318708,0.1446965284933045,-0.03181818181818183,5
masking (mean),confidence,Confidence,7,8,80,0.530127858595975,0.32742229908376497,0.10890520883936741,-0.03181818181818183,5
masking (mean),confidence,Confidence,8,8,80,0.48056860645924515,0.3060252772258539,0.10435970463466206,-0.03181818181818183,5
masking (mean),confidence,Confidence,9,8,80,0.5565227592297423,0.27339068179883963,0.09924477666957554,-0.03181818181818183,5
masking (mean),confidence,Confidence,10,8,80,0.8612248540177998,0.2386148332755035,0.09664563539104563,-0.03181818181818183,5
masking (mean),degree,Degree,1,8,80,0.4078536676749066,0.2259584339637136,0.07507155975451298,0.4984848484848484,7
masking (mean),degree,Degree,2,8,80,0.4290582908485164,0.23407308006520505,0.07676758545665027,0.4984848484848484,7
masking (mean),degree,Degree,3,8,80,0.42293084983710205,0.2612018951046466,0.08854962055617668,0.4984848484848484,7
masking (mean),degree,Degree,4,8,80,0.4083734814829938,0.2943010790102623,0.09853869060670811,0.4984848484848484,7
masking (mean),degree,Degree,5,8,80,0.4443647235463569,0.2828372678726954,0.1028287776313684,0.4984848484848484,7
masking (mean),degree,Degree,6,8,80,0.4594953694161937,0.3001040613908847,0.1026940463739519,0.4984848484848484,7
masking (mean),degree,Degree,7,8,80,0.550992867627419,0.2723299550020489,0.0929897500391747,0.4984848484848484,7
masking (mean),degree,Degree,8,8,80,0.5202370065253645,0.29323716230923563,0.10614597633027485,0.4984848484848484,7
masking (mean),degree,Degree,9,8,80,0.6701618008899368,0.3774901702127779,0.13480350603875121,0.4984848484848484,7
masking (mean),degree,Degree,10,8,80,1.3114260671383295,0.5718982203279972,0.18986628603272548,0.4984848484848484,7
masking (zero),conviction,Conviction,1,8,80,0.0685190600274141,0.06787450080755186,0.041006666033342555,0.456060606060606,7
masking (zero),conviction,Conviction,2,8,80,0.0877686347685201,0.08216676920529488,0.045134204838077875,0.456060606060606,7
masking (zero),conviction,Conviction,3,8,80,0.061910854840220395,0.20459256457355218,0.09386473466490394,0.456060606060606,7
masking (zero),conviction,Conviction,4,8,80,0.1724081651078666,0.25408877012604036,0.10294040827328393,0.456060606060606,7
masking (zero),conviction,Conviction,5,8,80,0.3735786068128587,0.25763706027736527,0.09256718632918123,0.456060606060606,7
masking (zero),conviction,Conviction,6,8,80,0.40600544935491284,0.3033505384751317,0.11277213631663154,0.456060606060606,7
masking (zero),conviction,Conviction,7,8,80,0.5518628042538899,0.32857038764491253,0.11006966465588527,0.456060606060606,7
masking (zero),conviction,Conviction,8,8,80,0.634866377104558,0.4074324543832623,0.1399116085575218,0.456060606060606,7
masking (zero),conviction,Conviction,9,8,80,0.934544400943436,0.4763355784811839,0.15065160469879146,0.456060606060606,7
masking (zero),conviction,Conviction,10,8,80,2.1792778067872964,0.7000866013542202,0.23506186929794073,0.456060606060606,7
masking (zero),confidence,Confidence,1,8,80,0.3516270994111135,0.2101210699665756,0.09131620051618156,0.21060606060606057,6
masking (zero),confidence,Confidence,2,8,80,0.3646724193076514,0.2076914770754823,0.07693422761827097,0.21060606060606057,6
masking (zero),confidence,Confidence,3,8,80,0.3889885438973649,0.2591376668923925,0.087773746639379,0.21060606060606057,6
masking (zero),confidence,Confidence,4,8,80,0.4227833486716258,0.24618244986952395,0.08828939471474455,0.21060606060606057,6
masking (zero),confidence,Confidence,5,8,80,0.47853903790924074,0.3813147377973092,0.1405014542817148,0.21060606060606057,6
masking (zero),confidence,Confidence,6,8,80,0.5769921275071009,0.4117211663447449,0.14212995573140408,0.21060606060606057,6
masking (zero),confidence,Confidence,7,8,80,0.6097260343270487,0.36865417151141583,0.11855511652914871,0.21060606060606057,6
masking (zero),confidence,Confidence,8,8,80,0.5817118485022111,0.3673813176305963,0.12192485964486606,0.21060606060606057,6
masking (zero),confidence,Confidence,9,8,80,0.6132316928359633,0.2882438483713792,0.10269628391098225,0.21060606060606057,6
masking (zero),confidence,Confidence,10,8,80,0.9193379359489939,0.2760974459090091,0.1058109933140623,0.21060606060606057,6
masking (zero),degree,Degree,1,8,80,0.3804857480967536,0.20912589582051766,0.07188745308155249,0.37727272727272726,6
masking (zero),degree,Degree,2,8,80,0.4169082975462264,0.22001528605889692,0.0740370161708331,0.37727272727272726,6
masking (zero),degree,Degree,3,8,80,0.4086767406098394,0.24306634220540063,0.08374631817298016,0.37727272727272726,6
masking (zero),degree,Degree,4,8,80,0.3704390881794068,0.2699324466639018,0.09282986634965348,0.37727272727272726,6
masking (zero),degree,Degree,5,8,80,0.45203598714749393,0.29007688373860696,0.10369427956891923,0.37727272727272726,6
masking (zero),degree,Degree,6,8,80,0.4568360234821559,0.3082448323444723,0.10352056128339401,0.37727272727272726,6
masking (zero),degree,Degree,7,8,80,0.5546270099774192,0.29300955089688446,0.0984423921996083,0.37727272727272726,6
masking (zero),degree,Degree,8,8,80,0.44379550615451824,0.30722980644798176,0.11205432920223271,0.37727272727272726,6
masking (zero),degree,Degree,9,8,80,0.5642306576805131,0.3391586698183179,0.12790145064714198,0.37727272727272726,6
masking (zero),degree,Degree,10,8,80,1.055486454171608,0.40322158476943737,0.15522178705139367,0.37727272727272726,6
pruning,conviction,Conviction,1,8,80,0.15788307697753018,0.10780747557587834,0.045017460662036844,0.7969696969696969,8
pruning,conviction,Conviction,2,8,80,0.22976889902317052,0.15709404176865774,0.06095125711473473,0.7969696969696969,8
pruning,conviction,Conviction,3,8,80,0.29577699319877504,0.2740072773269771,0.10032908073833331,0.7969696969696969,8
pruning,conviction,Conviction,4,8,80,0.5064571628612022,0.35000865367572387,0.11816832008373544,0.7969696969696969,8
pruning,conviction,Conviction,5,8,80,0.6937838747807434,0.4210407498347303,0.13785240481738217,0.7969696969696969,8
pruning,conviction,Conviction,6,8,80,0.7354346976467816,0.44565803465108184,0.14663895420281323,0.7969696969696969,8
pruning,conviction,Conviction,7,8,80,0.8480777536674774,0.4776421511829678,0.1487902394475801,0.7969696969696969,8
pruning,conviction,Conviction,8,8,80,0.9954660455460935,0.5191003548805713,0.16797749090153896,0.7969696969696969,8
pruning,conviction,Conviction,9,8,80,1.2259490868836005,0.5940330581281572,0.18806851823730517,0.7969696969696969,8
pruning,conviction,Conviction,10,8,80,4.023348541575838,1.1552709631082787,0.40008403966027944,0.7969696969696969,8
pruning,confidence,Confidence,1,8,80,0.9037664742136596,0.36526627266101536,0.1422368239622487,0.203030303030303,5
pruning,confidence,Confidence,2,8,80,0.8822874408838989,0.36333152758418624,0.11806915118408605,0.203030303030303,5
pruning,confidence,Confidence,3,8,80,0.8519238803748774,0.4487240453519215,0.14468267468499302,0.203030303030303,5
pruning,confidence,Confidence,4,8,80,0.8345030002265327,0.4334887420210616,0.1385178042976471,0.203030303030303,5
pruning,confidence,Confidence,5,8,80,0.963183081979418,0.498371991900382,0.15880334127272708,0.203030303030303,5
pruning,confidence,Confidence,6,8,80,0.9437771165685622,0.563538313380329,0.1771961491867412,0.203030303030303,5
pruning,confidence,Confidence,7,8,80,0.8549212637603938,0.4175606819714812,0.1362063996094544,0.203030303030303,5
pruning,confidence,Confidence,8,8,80,0.784743549065991,0.43420149228668725,0.14150191130683853,0.203030303030303,5
pruning,confidence,Confidence,9,8,80,0.8746561840258569,0.3347591927591289,0.1196462064448213,0.203030303030303,5
pruning,confidence,Confidence,10,8,80,1.3688848944009064,0.33447334451217914,0.140803558181705,0.203030303030303,5
pruning,degree,Degree,1,8,80,0.5388306796706568,0.3037327529909079,0.09536456358917822,0.5181818181818182,7
