combo,budget,strategy,label,n_datasets,n_folds_total,drop_mean,drop_se,total_se
masking (mean),0.01,high,High conviction,8,80,0.4864849272773675,0.15648745484416388,0.06733042959207555
masking (mean),0.01,low,Low conviction,8,80,0.015290043424555519,0.011238706045668248,0.013756682433749608
masking (mean),0.01,deg_high,High degree,8,80,0.377185792871784,0.15646585567421165,0.0696876664000447
masking (mean),0.01,deg_low,Low degree,8,80,0.03180409286540161,0.018481654521586507,0.01030568946010223
masking (mean),0.01,deg_matched_high,Degree-matched (high),8,80,0.07647269835858303,0.05782292959864701,0.031121847243567764
masking (mean),0.01,deg_matched_low,Degree-matched (low),8,80,0.05979506750909395,0.028896143735958148,0.013786945189732608
masking (mean),0.01,conf_high,High confidence,8,80,0.15280151900915123,0.07441413995723137,0.036184026448893965
masking (mean),0.01,conf_low,Low confidence,8,80,0.062480134365337774,0.043948737934108084,0.024747732692781757
masking (mean),0.01,random,Random,8,80,0.07695525637147219,0.03683401476650931,0.017498370086685058
masking (mean),0.05,high,High conviction,8,80,1.5642781504905003,0.5144291222779271,0.17140099297894573
masking (mean),0.05,low,Low conviction,8,80,0.05765791788753534,0.04064821133152566,0.025506388059864202
masking (mean),0.05,deg_high,High degree,8,80,0.9379361693131326,0.38020332651215455,0.128998235330958
masking (mean),0.05,deg_low,Low degree,8,80,0.18273714362256208,0.10564960227456968,0.037704308619172365
masking (mean),0.05,deg_matched_high,Degree-matched (high),8,80,0.2941069408398683,0.2101957212647156,0.07364289019610956
masking (mean),0.05,deg_matched_low,Degree-matched (low),8,80,0.22169946681514124,0.12757528405811838,0.05014252040449458
masking (mean),0.05,conf_high,High confidence,8,80,0.5125295902302918,0.15797262351670216,0.06944011993517768
masking (mean),0.05,conf_low,Low confidence,8,80,0.29912415614526416,0.1504030509521275,0.0632090974977209
masking (mean),0.05,random,Random,8,80,0.2500139374271358,0.1589039914362084,0.05698291527643714
masking (mean),0.1,high,High conviction,8,80,2.545434310500486,0.9701429003728661,0.3019614405330707
masking (mean),0.1,low,Low conviction,8,80,0.14229988689956716,0.07754949576667598,0.03638813858891464
masking (mean),0.1,deg_high,High degree,8,80,1.3454336270600646,0.5869239620665532,0.19270452728156923
masking (mean),0.1,deg_low,Low degree,8,80,0.411832112295958,0.22451307970726248,0.07519008353679253
masking (mean),0.1,deg_matched_high,Degree-matched (high),8,80,0.41041167379072746,0.32712909442078647,0.11555004779552604
masking (mean),0.1,deg_matched_low,Degree-matched (low),8,80,0.531910252635859,0.28455711509208226,0.09447635007114351
masking (mean),0.1,conf_high,High confidence,8,80,0.8606073340231122,0.23843768362947354,0.09659377178677696
masking (mean),0.1,conf_low,Low confidence,8,80,0.6121716456004542,0.28275876047333676,0.10653001921745281
masking (mean),0.1,random,Random,8,80,0.4633643798386898,0.31726982496547035,0.11516137171659713
masking (mean),0.2,high,High conviction,8,80,3.944209364462602,1.5559377211450516,0.48155605614364
