combo,budget,strategy,label,n_datasets,n_folds_total,drop_mean,drop_se,total_se
masking (mean),0.01,high,High conviction,8,80,0.4912211564817216,0.15369536220591312,0.06527512350149688
masking (mean),0.01,low,Low conviction,8,80,0.011543080433684235,0.014165114097356641,0.013680251664607134
masking (mean),0.01,deg_high,High degree,8,80,0.3772049903186765,0.1564611983763793,0.06968812588631332
masking (mean),0.01,deg_low,Low degree,8,80,0.03179915974898037,0.01847807044693174,0.01030497387727305
masking (mean),0.01,deg_matched_high,Degree-matched (high),8,80,0.07665774818614964,0.04391622997940676,0.024493889848972262
masking (mean),0.01,deg_matched_low,Degree-matched (low),8,80,0.05568240344867721,0.026704852941862974,0.014143013425370523
masking (mean),0.01,conf_high,High confidence,8,80,0.15277923428242698,0.07440965343766216,0.03618232500615774
masking (mean),0.01,conf_low,Low confidence,8,80,0.06293946651922316,0.043969661232307715,0.02474118252653533
masking (mean),0.01,random,Random,8,80,0.07693901728132332,0.03682627160552229,0.01749732471351409
masking (mean),0.05,high,High conviction,8,80,1.5677837094404112,0.5927793851773088,0.19044473339352266
masking (mean),0.05,low,Low conviction,8,80,0.04403529241996093,0.04661071660710457,0.02644214244357805
masking (mean),0.05,deg_high,High degree,8,80,0.9379301895239689,0.3802046461516491,0.1289981808075409
masking (mean),0.05,deg_low,Low degree,8,80,0.18271091658088168,0.10563792711520217,0.03770235266102882
masking (mean),0.05,deg_matched_high,Degree-matched (high),8,80,0.2648180541263284,0.18898841380010278,0.0718761381386719
masking (mean),0.05,deg_matched_low,Degree-matched (low),8,80,0.26669864236770197,0.12002222865745188,0.047977486669680866
masking (mean),0.05,conf_high,High confidence,8,80,0.5125042253485799,0.15797548858576882,0.06943938930987609
masking (mean),0.05,conf_low,Low confidence,8,80,0.2991221846746318,0.1503948462214983,0.06320892515277014
masking (mean),0.05,random,Random,8,80,0.2500079858969415,0.1588971382876315,0.05698190364307714
masking (mean),0.1,high,High conviction,8,80,2.5293780150491347,1.0496984417456565,0.3255310386696671
masking (mean),0.1,low,Low conviction,8,80,0.10151860663672016,0.08255107647665348,0.04134713552886119
masking (mean),0.1,deg_high,High degree,8,80,1.345426006851614,0.5869216680238105,0.1927035514249947
masking (mean),0.1,deg_low,Low degree,8,80,0.4118300783413137,0.2245002228693528,0.07518621230296423
masking (mean),0.1,deg_matched_high,Degree-matched (high),8,80,0.41568325214974167,0.2970186546453898,0.11388189242021081
masking (mean),0.1,deg_matched_low,Degree-matched (low),8,80,0.5177839220928389,0.3234027315139757,0.11061267407457302
masking (mean),0.1,conf_high,High confidence,8,80,0.8606162198202958,0.23843106964386082,0.09659083705798835
masking (mean),0.1,conf_low,Low confidence,8,80,0.6121772005161575,0.2827532313001125,0.10653117309656104
masking (mean),0.1,random,Random,8,80,0.4633372611426894,0.3172619530573604,0.11515965276487303
masking (mean),0.2,high,High conviction,8,80,4.020702494508933,1.6834245007369442,0.5180281791087354
masking (mean),0.2,low,Low conviction,8,80,0.25135342999326266,0.20316405523218112,0.0826377429671301
masking (mean),0.2,deg_high,High degree,8,80,2.1321621623932447,0.9362836013717764,0.3100564254863206
masking (mean),0.2,deg_low,Low degree,8,80,0.882828207468777,0.48418968604909707,0.15140033898452215
masking (mean),0.2,deg_matched_high,Degree-matched (high),8,80,0.6979326123667103,0.5609771196842404,0.18706769439375834
