combo,budget,strategy,label,n_datasets,n_folds_total,drop_mean,drop_se,total_se
gating (hard),0.01,high,High conviction,8,80,0.809391695826075,0.2861274552568985,0.10475933863878162
gating (hard),0.01,low,Low conviction,8,80,0.04694738459957672,0.0263978833379243,0.01202417854535125
gating (hard),0.01,deg_high,High degree,8,80,0.6521332752970281,0.19533621846730434,0.07706328297890443
gating (hard),0.01,deg_low,Low degree,8,80,0.045901540783017315,0.024657425988327937,0.01169074459891921
gating (hard),0.01,deg_matched_high,Degree-matched (high),8,80,0.12317679195110748,0.05472325965253815,0.03098081637363718
gating (hard),0.01,deg_matched_low,Degree-matched (low),8,80,0.06118819219907862,0.031652333564857776,0.013621581268635722
gating (hard),0.01,conf_high,High confidence,8,80,0.23501609345906518,0.07737105795700319,0.042632643222593775
gating (hard),0.01,conf_low,Low confidence,8,80,0.08727408038516175,0.05475894859510148,0.024049257222191887
gating (hard),0.01,random,Random,8,80,0.08554264772660669,0.03766012161217937,0.018688901634398486
gating (hard),0.05,high,High conviction,8,80,1.8004436959866001,0.40517089961809655,0.1534374005917667
gating (hard),0.05,low,Low conviction,8,80,0.10509705323893176,0.04343996857163496,0.0263335031990487
gating (hard),0.05,deg_high,High degree,8,80,1.3679011263715717,0.3722002301033703,0.12924794474252027
gating (hard),0.05,deg_low,Low degree,8,80,0.255113551623982,0.1202407824446497,0.042188601021019304
gating (hard),0.05,deg_matched_high,Degree-matched (high),8,80,0.37156428320797535,0.1877421539376791,0.06910636390421854
gating (hard),0.05,deg_matched_low,Degree-matched (low),8,80,0.31302905851430396,0.176123399653951,0.0599030094301953
gating (hard),0.05,conf_high,High confidence,8,80,0.7453488338409808,0.20370502463869372,0.0796657947813518
gating (hard),0.05,conf_low,Low confidence,8,80,0.3467458553093495,0.1653360549094906,0.06081957064986058
gating (hard),0.05,random,Random,8,80,0.34367568159875816,0.16900164923358824,0.05971041738377651
gating (hard),0.1,high,High conviction,8,80,2.7653704240213344,0.6629671244722053,0.2308682964743258
gating (hard),0.1,low,Low conviction,8,80,0.18106458163165412,0.08792361304629522,0.041058674886670324
gating (hard),0.1,deg_high,High degree,8,80,1.9113799618229559,0.4529258948650703,0.16216606622730695
gating (hard),0.1,deg_low,Low degree,8,80,0.5790613001972976,0.26760031193498035,0.08707290951639007
gating (hard),0.1,deg_matched_high,Degree-matched (high),8,80,0.6805388232138551,0.3523819259505481,0.1197752829887608
gating (hard),0.1,deg_matched_low,Degree-matched (low),8,80,0.6166589395528508,0.3771613112810014,0.11838328555555443
gating (hard),0.1,conf_high,High confidence,8,80,1.223343824435635,0.294012244144556,0.11286216212548195
gating (hard),0.1,conf_low,Low confidence,8,80,0.6268795511554641,0.2945699061792302,0.10586698495520487
gating (hard),0.1,random,Random,8,80,0.6328589891701134,0.3363566397246757,0.12070055615401779
gating (hard),0.2,high,High conviction,8,80,4.319365868345812,1.2722581112170475,0.40746294449873854
gating (hard),0.2,low,Low conviction,8,80,0.4277944894086958,0.2213791565646018,0.08903984530366796
gating (hard),0.2,deg_high,High degree,8,80,2.8263241000711066,0.7311408008954449,0.2521809930835979
gating (hard),0.2,deg_low,Low degree,8,80,1.1962052382370028,0.5867555211250338,0.1843056813267405
gating (hard),0.2,deg_matched_high,Degree-matched (high),8,80,1.01905120677599,0.5994312073315045,0.1924521457221577
gating (hard),0.2,deg_matched_low,Degree-matched (low),8,80,1.5251343782727653,0.8390571767482532,0.25936196443858245
gating (hard),0.2,conf_high,High confidence,8,80,2.275598512911918,0.5887916140667789,0.20576655175053332
gating (hard),0.2,conf_low,Low confidence,8,80,1.286386808382329,0.5967100729388708,0.19568154398377877
