model,normalised,observable,checkpoint,layer,n_datasets,n_folds_total,drop_mean,drop_se,total_se
GeneralSheaf,true,degree,epoch-0,last,8,80,0.07109965162149519,0.10033845611126306,0.030275702285935648
GeneralSheaf,true,degree,best-epoch,last,8,80,0.3259957096292748,0.07365510347929352,0.023125145838018737
GeneralSheaf,true,betweenness,epoch-0,last,8,80,0.05085500991233201,0.07799988772476008,0.02370330865009018
GeneralSheaf,true,betweenness,best-epoch,last,8,80,0.2827820516582463,0.05782912588865387,0.018606896701567958
GeneralSheaf,true,confidence,epoch-0,last,8,80,0.16783273374152452,0.06943776330396009,0.029515645638295313
GeneralSheaf,true,confidence,best-epoch,last,8,80,0.6560077978141865,0.04858277509621581,0.016025166316160744
GeneralSheaf,true,saliency,epoch-0,last,8,75,0.06682909407039805,0.10315360174535261,0.034792467894979716
GeneralSheaf,true,saliency,best-epoch,last,8,79,-0.1807800491490747,0.0878420637146372,0.028107512209724784
GeneralSheaf,true,cohens_d_train,epoch-0,last,8,80,0.21344905083087498,0.04590955290758391,0.024784113886167126
GeneralSheaf,true,cohens_d_train,best-epoch,last,8,70,0.5376694359458334,0.09295029292014276,0.02859475502852273
GeneralSheaf,true,cohens_d_test,epoch-0,last,8,80,0.2404786988175,0.05207398822966316,0.02670423548186553
GeneralSheaf,true,cohens_d_test,best-epoch,last,8,80,0.3680595345375,0.07637839154943567,0.02476619050434504
BundleSheaf,false,degree,epoch-0,last,8,80,0.5670692791294938,0.0839383095270649,0.025025842097650276
BundleSheaf,false,degree,best-epoch,last,8,80,0.5330114727660757,0.08845380266419187,0.026758917793531435
BundleSheaf,false,betweenness,epoch-0,last,8,80,0.4606365021529044,0.06671582587022072,0.019896240048714823
BundleSheaf,false,betweenness,best-epoch,last,8,80,0.45377966487101584,0.06887066086362882,0.020825236984181893
BundleSheaf,false,confidence,epoch-0,last,8,80,0.5296584872750498,0.13001154868587636,0.0387845446069492
BundleSheaf,false,confidence,best-epoch,last,8,80,0.5472742079160574,0.0656684595975441,0.02467776472866576
BundleSheaf,false,saliency,epoch-0,last,8,80,0.8185226957529925,0.09835031898841849,0.02944661119133855
BundleSheaf,false,saliency,best-epoch,last,8,80,0.6507865862770166,0.12007891684788727,0.03624008237953412
BundleSheaf,false,cohens_d_train,epoch-0,last,8,80,0.098193372985625,0.03864699510253955,0.018012390295579484
BundleSheaf,false,cohens_d_train,best-epoch,last,8,80,0.17397687641825,0.05003413373820601,0.022391238318198538
BundleSheaf,false,cohens_d_test,epoch-0,last,8,80,0.15654456859125,0.05837876738363608,0.027773745915257223
BundleSheaf,false,cohens_d_test,best-epoch,last,8,80,0.20367043304375002,0.05229051308814123,0.02536986621163303
