strategy,label,budget,n_datasets,edges_removed_mean,edges_removed_se,components_mean
high,High conviction,0.01,8,7.681748458937465,3.0560218191898647,1166.85
high,High conviction,0.05,8,15.901220455892227,3.5365736373477388,1595.875
high,High conviction,0.1,8,22.009750281826264,3.384281751189068,1742.4
high,High conviction,0.2,8,31.32705084296361,3.0579089810071403,1960.35
high,High conviction,0.3,8,39.36925060866989,2.777392088076292,2142.4374999999995
low,Low conviction,0.01,8,0.47083365147005674,0.12162501173674828,74.15
low,Low conviction,0.05,8,2.6608260823552636,0.5352100748733224,105.975
low,Low conviction,0.1,8,5.575107250403201,0.9994470661238003,143.7
low,Low conviction,0.2,8,11.644975378600424,1.8170195582494832,223.6375
low,Low conviction,0.3,8,18.029206612943124,2.492828934361019,322.4375
deg_high,High degree,0.01,8,10.162904215752555,3.4297154198065907,1057.4125
deg_high,High degree,0.05,8,23.489833713179177,5.087378070345593,1858.5625
deg_high,High degree,0.1,8,32.69737232014699,5.4560848342593395,2373.1375
deg_high,High degree,0.2,8,44.20544577864548,5.079897211864478,2958.525
deg_high,High degree,0.3,8,51.613880257475806,4.283656684200688,3224.7
deg_low,Low degree,0.01,8,0.35500391027931677,0.11513966645356896,65.675
deg_low,Low degree,0.05,8,1.9432139659037064,0.5508146567180211,74.64999999999999
deg_low,Low degree,0.1,8,4.185644399516611,1.231947038775699,87.0625
deg_low,Low degree,0.2,8,8.746460506244699,2.517883310603701,111.65
deg_low,Low degree,0.3,8,13.33208793180841,3.685994238114774,133.21249999999998
deg_matched_high,Degree-matched (high),0.01,8,5.035622532738711,1.3043783468084182,247.7625
deg_matched_high,Degree-matched (high),0.05,8,11.5255974690326,1.4135840525668726,361.2875
deg_matched_high,Degree-matched (high),0.1,8,16.59241625988011,1.3130394127978484,487.1125
deg_matched_high,Degree-matched (high),0.2,8,23.559810717316758,1.1351224274183254,620.1625
deg_matched_high,Degree-matched (high),0.3,8,28.340877802359323,1.7068469586212938,692.6999999999999
deg_matched_low,Degree-matched (low),0.01,8,0.49303762368648335,0.12928159650997462,71.075
deg_matched_low,Degree-matched (low),0.05,8,2.835570533331552,0.5708750299286397,103.8
deg_matched_low,Degree-matched (low),0.1,8,5.947356976591482,1.0765848940783587,151.3875
deg_matched_low,Degree-matched (low),0.2,8,12.434981373812981,1.9456853053085206,258.875
deg_matched_low,Degree-matched (low),0.3,8,19.263864795329752,2.6140096449931285,385.7125
conf_high,High confidence,0.01,8,1.9872396076185046,0.3556086748641803,184.0125
conf_high,High confidence,0.05,8,6.911382744913612,1.0905946286506825,269.52500000000003
conf_high,High confidence,0.1,8,11.747752766692347,1.6888662375659702,342.1
conf_high,High confidence,0.2,8,20.290129580657435,2.574457336945035,504.1125
conf_high,High confidence,0.3,8,28.09627864509679,3.1237572684474695,686.7
conf_low,Low confidence,0.01,8,1.723732355850989,0.8531643850112156,159.8625
conf_low,Low confidence,0.05,8,7.078529628331543,2.607188208232439,464.23749999999995
conf_low,Low confidence,0.1,8,12.24185241659736,3.5477871115588027,748.6875
conf_low,Low confidence,0.2,8,20.74418861992853,4.246723967237923,1150.9375
conf_low,Low confidence,0.3,8,28.239058283600148,4.473042260433615,1421.1999999999998
random,Random,0.01,8,0.9646782613126362,0.06341395066126461,92.5
random,Random,0.05,8,5.039197777074888,0.19923578022370575,211.98749999999998
random,Random,0.1,8,9.96642379531763,0.38046366123787173,351.2125
random,Random,0.2,8,19.45490938260828,0.7038608005581011,646.3875
random,Random,0.3,8,28.305817574013197,1.0080889029322908,906.3625
