model,direction,reference,checkpoint,depth_bin,mean,se_across,n_datasets,mean_pooled,se_pooled,n_obs
GeneralSheaf,A,cross,epoch-0,first,0.08629728087873186,0.02916779278569299,10,0.08629728087873186,0.011005546378322269,100
GeneralSheaf,A,cross,epoch-0,last,0.1624397339518789,0.03653455451124349,10,0.1624397339518789,0.013371273565441884,100
GeneralSheaf,A,cross,epoch-0,middle,0.0956123706518863,0.014115209440097181,8,0.09656868642811176,0.004385844599330035,190
GeneralSheaf,A,cross,epoch-1,first,0.11771738945090164,0.02537774806048508,10,0.11771738945090165,0.01032418266236478,100
GeneralSheaf,A,cross,epoch-1,last,0.2094344409873158,0.0519051407978107,10,0.20943444098731578,0.017086088352889644,100
GeneralSheaf,A,cross,epoch-1,middle,0.15177828179434322,0.02768236483073196,8,0.16082295579373215,0.008005649582565975,190
GeneralSheaf,A,cross,epoch-15,first,0.19458975823482172,0.026549586921397732,10,0.1945897582348217,0.011081118133622177,100
GeneralSheaf,A,cross,epoch-15,last,0.2554586413957956,0.038305569321064714,10,0.25545864139579555,0.013742832847823336,100
GeneralSheaf,A,cross,epoch-15,middle,0.21417662970449594,0.03016844067039233,8,0.22678613307751888,0.007823717462999721,190
GeneralSheaf,A,cross,epoch-200,first,0.20019360757814159,0.027792067155333024,10,0.20019360757814159,0.010878058620161928,100
GeneralSheaf,A,cross,epoch-200,last,0.20818859095489656,0.03521109994907359,10,0.20818859095489656,0.013360388375120814,100
GeneralSheaf,A,cross,epoch-200,middle,0.24040729885223733,0.038095702262844734,8,0.22363376675074473,0.008547259597673038,190
GeneralSheaf,A,cross,epoch-5,first,0.13947770613450686,0.026684205561735116,10,0.13947770613450686,0.009788780794362425,100
GeneralSheaf,A,cross,epoch-5,last,0.20307644627310806,0.05024056191338416,10,0.20307644627310803,0.016267623312162246,100
GeneralSheaf,A,cross,epoch-5,middle,0.21903418162097027,0.06032694562780744,8,0.24255841571226916,0.012754882151041721,190
GeneralSheaf,A,cross,epoch-50,first,0.1578480491272949,0.022613564337406192,10,0.1578480491272949,0.009376492226122453,100
GeneralSheaf,A,cross,epoch-50,last,0.26791881598937345,0.04655648598063436,10,0.2679188159893735,0.01615080051758815,100
GeneralSheaf,A,cross,epoch-50,middle,0.2282737645579947,0.04641942987035365,8,0.22495839958894034,0.009992917460610679,190
GeneralSheaf,A,cross,last,first,0.20416857998279953,0.027940460608257923,10,0.20416857998279953,0.010715748712539467,100
GeneralSheaf,A,cross,last,last,0.22429147432933147,0.04317389861736293,10,0.22429147432933147,0.01514379903097643,100
GeneralSheaf,A,cross,last,middle,0.24017737985230272,0.037841454227950835,8,0.22063692264903909,0.008739254584811583,190
GeneralSheaf,B,cross,epoch-0,first,0.08248588447222283,0.03020729439174586,10,0.08248588447222283,0.01137317015773796,100
GeneralSheaf,B,cross,epoch-0,last,0.1320352974040498,0.024907051156888276,10,0.13203529740404982,0.01011683880777943,100
GeneralSheaf,B,cross,epoch-0,middle,0.09518538085922083,0.015080809252115504,8,0.09505408841009036,0.0041150018149002255,190
GeneralSheaf,B,cross,epoch-1,first,0.12137997025161329,0.026292086107508647,10,0.12137997025161329,0.01032555248956938,100
GeneralSheaf,B,cross,epoch-1,last,0.17382072317425792,0.03265838575977748,10,0.17382072317425792,0.013215297740859106,100
GeneralSheaf,B,cross,epoch-1,middle,0.14314739264394158,0.03540360959109151,8,0.15953562808717847,0.008418901765088364,190
GeneralSheaf,B,cross,epoch-15,first,0.18124831265145133,0.037920901128069576,10,0.18124831265145133,0.013411045565729706,100
GeneralSheaf,B,cross,epoch-15,last,0.22664194016567052,0.020788573963203123,10,0.22664194016567052,0.010562252964726331,100
GeneralSheaf,B,cross,epoch-15,middle,0.22192593700825278,0.035638465961254986,8,0.22907741435343137,0.008585886129514362,190
GeneralSheaf,B,cross,epoch-200,first,0.18031386074022454,0.02952075838257394,10,0.18031386074022454,0.010447208560502436,100
GeneralSheaf,B,cross,epoch-200,last,0.21954908042496393,0.029385372858326878,10,0.21954908042496396,0.013338541242865598,100
GeneralSheaf,B,cross,epoch-200,middle,0.16483514958990508,0.013883090711456858,8,0.1640186244083395,0.004198055917172028,190
GeneralSheaf,B,cross,epoch-5,first,0.1530241869421567,0.03274953682793118,10,0.15302418694215672,0.011738032809395995,100
GeneralSheaf,B,cross,epoch-5,last,0.23170885286479187,0.050769247218303434,10,0.2317088528647919,0.01717809649573197,100
GeneralSheaf,B,cross,epoch-5,middle,0.21042699177741875,0.05509616029304926,8,0.2303223616690603,0.012408164402524284,190
GeneralSheaf,B,cross,epoch-50,first,0.17641448574001023,0.027491205938639973,10,0.1764144857400102,0.010531857106436655,100
GeneralSheaf,B,cross,epoch-50,last,0.20077188706149868,0.017115886611802873,10,0.20077188706149868,0.008995273109306912,100
GeneralSheaf,B,cross,epoch-50,middle,0.18328528316563483,0.021974400271650187,8,0.1799290670184286,0.005076300612009669,190
GeneralSheaf,B,cross,last,first,0.17342549059483364,0.024989838356603337,10,0.17342549059483364,0.00925004537587031,100
GeneralSheaf,B,cross,last,last,0.2324349413304269,0.03706580223637566,10,0.2324349413304269,0.015822563560891286,100
GeneralSheaf,B,cross,last,middle,0.15982224514440982,0.011534472849169303,8,0.15988814707585003,0.004145752162597348,190
