model,map_type,normalised,use_other,content_normalised,reference,checkpoint,depth_bin,mean,se_across,n_datasets,mean_pooled,se_pooled,n_obs
GeneralSheaf,,False,False,False,topological,epoch-0,first,0.4370807559316224,0.04099779777620995,10,0.42850279059377105,0.011737033404257146,110
GeneralSheaf,,False,False,False,topological,epoch-0,last,0.4632595201091633,0.03995103279610713,10,0.4521033526831262,0.011953759273986387,110
GeneralSheaf,,False,False,False,topological,epoch-0,middle,0.47178303402860755,0.047233218205481764,8,0.4868478050488082,0.009564605996112741,200
GeneralSheaf,,False,False,False,topological,epoch-1,first,0.4419449613734504,0.04174579703699464,10,0.4327119031262226,0.01209325486368776,110
GeneralSheaf,,False,False,False,topological,epoch-1,last,0.4906712815161975,0.044874363017981166,10,0.4780065258803992,0.013388101516071142,110
GeneralSheaf,,False,False,False,topological,epoch-1,middle,0.5047255802859916,0.04713534164685914,8,0.5265162115487914,0.009682798623482388,200
GeneralSheaf,,False,False,False,topological,epoch-15,first,0.4725726130519588,0.040059974098939334,10,0.46371996808648175,0.011736228012685689,110
GeneralSheaf,,False,False,False,topological,epoch-15,last,0.5259028144518223,0.03749611594832335,10,0.5230912663987598,0.011499753626538108,110
GeneralSheaf,,False,False,False,topological,epoch-15,middle,0.5603116477718217,0.03671945509852176,8,0.5808688791264032,0.007736270584620111,200
GeneralSheaf,,False,False,False,topological,epoch-200,first,0.4600483508838725,0.03853294182621593,10,0.4554223960875461,0.01099261907402832,110
GeneralSheaf,,False,False,False,topological,epoch-200,last,0.4686639822379835,0.031877450193297886,10,0.4688339594972136,0.010702030632466905,110
GeneralSheaf,,False,False,False,topological,epoch-200,middle,0.5055286319660177,0.047010829756732236,8,0.5120133926246462,0.010106988884721611,200
GeneralSheaf,,False,False,False,topological,epoch-5,first,0.45297727680248023,0.04016414380663054,10,0.44385825117955224,0.011860012172702458,110
GeneralSheaf,,False,False,False,topological,epoch-5,last,0.5335028024735682,0.04466016571575359,10,0.5218646618601807,0.013367371571508671,110
GeneralSheaf,,False,False,False,topological,epoch-5,middle,0.5539361336966544,0.050821954466042624,8,0.5829489660894641,0.010006747711205369,200
GeneralSheaf,,False,False,False,topological,epoch-50,first,0.4644905054088081,0.038470681050491035,10,0.45952055390477,0.011011557394793555,110
GeneralSheaf,,False,False,False,topological,epoch-50,last,0.5021272916845256,0.04034490738858376,10,0.5023428628171652,0.011820786379376301,110
GeneralSheaf,,False,False,False,topological,epoch-50,middle,0.5322459205016772,0.04815816538228947,8,0.5350380744989635,0.01017836756136109,200
GeneralSheaf,,False,False,False,topological,last,first,0.45989014472223727,0.03870943684317431,10,0.4562256361564876,0.010983780260591073,110
GeneralSheaf,,False,False,False,topological,last,last,0.468713199029035,0.030438026376879933,10,0.46879740940889064,0.010515383137670462,110
GeneralSheaf,,False,False,False,topological,last,middle,0.5050635103356425,0.04705276730917855,8,0.5114817004245793,0.010078349752030744,200
GeneralSheaf,,False,False,False,zero,epoch-0,first,0.17150453381490277,0.1432369079069502,10,0.1559263623302842,0.04135246705773314,110
GeneralSheaf,,False,False,False,zero,epoch-0,last,8.360582099539128,7.008295077669732,10,7.600543251234504,1.9411241973021396,110
GeneralSheaf,,False,False,False,zero,epoch-0,middle,7.618974942769237,6.955008690639145,8,6.571106704047461,1.2311929289680794,200
GeneralSheaf,,False,False,False,zero,epoch-1,first,0.2290499476573419,0.18035741438566147,10,0.20823881526649382,0.05256095273468615,110
GeneralSheaf,,False,False,False,zero,epoch-1,last,8.671157639593341,6.71730453601451,10,7.882883167560271,1.861767026903088,110
GeneralSheaf,,False,False,False,zero,epoch-1,middle,8.77458269104995,7.723513414702028,8,7.716531500410747,1.3422378362564373,200
GeneralSheaf,,False,False,False,zero,epoch-15,first,0.6026934844335651,0.40886994346963246,10,0.5481278319209044,0.12226983132432998,110
GeneralSheaf,,False,False,False,zero,epoch-15,last,6.954581844312067,4.448429699294844,10,6.3243180631529725,1.289824303207983,110
GeneralSheaf,,False,False,False,zero,epoch-15,middle,9.075365327034614,6.93241049731657,8,8.132956623192795,1.2289880928253545,200
GeneralSheaf,,False,False,False,zero,epoch-200,first,1.2765440613394419,0.5303800176993245,10,1.1806675326747342,0.15963033305702362,110
GeneralSheaf,,False,False,False,zero,epoch-200,last,5.679964874731452,2.724483650492129,10,5.408651566118235,0.845513095395864,110
GeneralSheaf,,False,False,False,zero,epoch-200,middle,11.338062051439312,6.260510520929347,8,10.281322174087672,1.1275915101113652,200
GeneralSheaf,,False,False,False,zero,epoch-5,first,0.3993779243899317,0.28677677893856873,10,0.3631223938109015,0.08234164033180827,110
GeneralSheaf,,False,False,False,zero,epoch-5,last,8.101167875832889,6.057203463459406,10,7.364761839027576,1.68345598725243,110
GeneralSheaf,,False,False,False,zero,epoch-5,middle,8.717696968328905,7.219977077967246,8,7.775275447650706,1.2514484977888936,200
GeneralSheaf,,False,False,False,zero,epoch-50,first,1.0640063348690718,0.5729914892719274,10,0.9688476340531583,0.16913856165181598,110
GeneralSheaf,,False,False,False,zero,epoch-50,last,6.004402275493463,3.4483057338511625,10,5.49610636666263,1.03863713753485,110
GeneralSheaf,,False,False,False,zero,epoch-50,middle,10.239735067006789,6.553636883333773,8,9.384580883312406,1.1448935111036154,200
