model,map_type,normalised,use_other,content_normalised,dataset,stalk_dim,layers,checkpoint,layer,depth_bin,fold,reference,wasserstein,direction
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,0,topological,0.3800982239181754,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,0,zero,0.005942747194503481,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,0,topological,0.3811763457793206,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,0,zero,0.006603101273376202,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,0,topological,0.3766628822328163,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,0,zero,0.004983068736244753,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,0,topological,0.3817355523217013,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,0,zero,0.006034156222719815,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,0,topological,0.40956661094791225,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,0,zero,0.005167156268942255,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,1,topological,0.36569778684092247,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,1,zero,0.005716209827062145,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,1,topological,0.36047534196398234,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,1,zero,0.007592141217739529,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,1,topological,0.41074051625950486,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,1,zero,0.004045310923549596,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,1,topological,0.38970079367859795,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,1,zero,0.005055290462719091,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,1,topological,0.3808360105744668,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,1,zero,0.0053733257222092455,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,2,topological,0.40511839829159824,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,2,zero,0.006078662498222248,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,2,topological,0.4083307115425798,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,2,zero,0.0058621623580052224,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,2,topological,0.39810096077219675,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,2,zero,0.004550886592009482,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,2,topological,0.38799090139341874,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,2,zero,0.005468165242388188,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,2,topological,0.3750630707727626,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,2,zero,0.006016009016484868,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,3,topological,0.3734733435406785,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,3,zero,0.005173301248750592,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,3,topological,0.3972350493845624,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,3,zero,0.005942371621836832,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,3,topological,0.35207065187097397,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,3,zero,0.00726434255778993,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,3,topological,0.40109648952937055,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,3,zero,0.005248212049792091,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,3,topological,0.4068777854650472,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,3,zero,0.005116116375921173,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,4,topological,0.40351600426301565,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,4,zero,0.0059388475613391814,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,4,topological,0.4017112890845578,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,4,zero,0.005673604149945841,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,4,topological,0.41777512647716053,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,4,zero,0.0057077317487260314,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,4,topological,0.4041133707151207,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,4,zero,0.006843263128467045,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,4,topological,0.4014914769117975,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,4,zero,0.005953738939336142,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,5,topological,0.395466959848833,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,5,zero,0.0053310049936741806,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,5,topological,0.3997193176703448,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,5,zero,0.005499695492238563,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,5,topological,0.3851964875298172,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,5,zero,0.004789329637952295,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,5,topological,0.39666607608864457,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,5,zero,0.004865261221716451,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,5,topological,0.3878350223586527,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,5,zero,0.006679234263270886,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,6,topological,0.37153846872607454,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,6,zero,0.005632707541186651,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,6,topological,0.374342796860501,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,6,zero,0.00569705170737922,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,6,topological,0.3784949737282554,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,6,zero,0.006879182121841751,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,6,topological,0.39241661504178654,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,6,zero,0.005799494093596732,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,6,topological,0.42213215108232766,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,6,zero,0.006241991527470981,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,7,topological,0.376772545281682,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,7,zero,0.0057412772937422505,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,7,topological,0.39251914934131976,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,7,zero,0.005921090724467404,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,7,topological,0.4198631998154184,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,7,zero,0.004824398939751978,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,7,topological,0.38301683733020686,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,7,zero,0.00503801932763874,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,7,topological,0.3975982680139655,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,7,zero,0.0056750298523260845,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,8,topological,0.4118043013017161,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,8,zero,0.005619770290047232,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,8,topological,0.3855802065363068,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,8,zero,0.006793860233344615,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,8,topological,0.37788545379540467,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,8,zero,0.006150692385423885,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,8,topological,0.3765803606655093,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,8,zero,0.005788790109249697,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,8,topological,0.37771643228818025,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,8,zero,0.00533234935374805,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,9,topological,0.4044739761298934,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,0,first,9,zero,0.005980720581743768,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,9,topological,0.3936039317161063,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,1,middle,9,zero,0.006458847507344437,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,9,topological,0.4022872347752074,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,2,middle,9,zero,0.005805775085765007,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,9,topological,0.40944905899667666,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,3,middle,9,zero,0.004999136441691854,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,9,topological,0.4012929279547892,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-0,4,last,9,zero,0.007056744446837887,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,0,topological,0.3789776046533932,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,0,zero,0.007579008711771742,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,0,topological,0.3740180948813682,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,0,zero,0.008356783806207232,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,0,topological,0.4111669643439556,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,0,zero,0.009873869971278202,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,0,topological,0.44458505099257434,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,0,zero,0.010066270644418465,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,0,topological,0.441629936442751,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,0,zero,0.0074365868294750444,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,1,topological,0.4048467592805716,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,1,zero,0.006800318226332788,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,1,topological,0.36473786372991707,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,1,zero,0.008697664172923383,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,1,topological,0.4088001674266323,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,1,zero,0.007686543637434154,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,1,topological,0.4037269465483565,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,1,zero,0.009777246872206003,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,1,topological,0.4134689524897035,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,1,zero,0.008493939741424317,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,2,topological,0.38998713323297524,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,2,zero,0.007856681137954047,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,2,topological,0.39708381434435286,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,2,zero,0.009892248862079187,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,2,topological,0.432237613292003,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,2,zero,0.009277286909289095,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,2,topological,0.38314350995705465,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,2,zero,0.012228283738335548,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,2,topological,0.3928816027129867,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,2,zero,0.010342546109672699,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,3,topological,0.39553714240060184,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,3,zero,0.007021118542644528,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,3,topological,0.40877291529677384,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,3,zero,0.0074670587470742344,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,3,topological,0.3989745440401019,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,3,zero,0.012547189953751503,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,3,topological,0.43050443762940366,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,3,zero,0.011796451514987247,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,3,topological,0.4143808059750844,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,3,zero,0.008852576837570913,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,4,topological,0.37992757390679477,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,4,zero,0.01219107538626906,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,4,topological,0.3941091452080518,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,4,zero,0.00886052434803921,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,4,topological,0.3325704830011779,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,4,zero,0.012971164490090836,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,4,topological,0.42228770915523056,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,4,zero,0.011965967541844216,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,4,topological,0.4600865592507378,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,4,zero,0.01001597948231362,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,5,topological,0.35473830219318997,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,5,zero,0.007669193953963366,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,5,topological,0.3795395570397548,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,5,zero,0.008396740083832633,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,5,topological,0.43282585496041176,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,5,zero,0.007109737945222697,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,5,topological,0.4177511291510484,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,5,zero,0.010092975621133317,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,5,topological,0.36672697054805875,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,5,zero,0.013784575519323484,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,6,topological,0.38370706925454856,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,6,zero,0.012190628140702504,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,6,topological,0.38225935391184185,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,6,zero,0.008622981349936462,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,6,topological,0.41983183348432507,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,6,zero,0.0092807899095075,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,6,topological,0.3895567119804558,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,6,zero,0.010846940824086765,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,6,topological,0.4072920253338562,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,6,zero,0.010898211637102403,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,7,topological,0.37765152598297924,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,7,zero,0.00962499791119717,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,7,topological,0.40159836112808794,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,7,zero,0.009025819377186144,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,7,topological,0.42508917035550303,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,7,zero,0.0061508992564422455,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,7,topological,0.39259641690876695,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,7,zero,0.00872963594686368,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,7,topological,0.430055694804525,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,7,zero,0.00857416986980936,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,8,topological,0.373160985986983,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,8,zero,0.010311995345270615,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,8,topological,0.4086324901050656,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,8,zero,0.012513769199638886,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,8,topological,0.37007971431464715,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,8,zero,0.010910958249010543,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,8,topological,0.40092375155254373,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,8,zero,0.011715282842560801,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,8,topological,0.4257424977188883,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,8,zero,0.010749020948240803,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,9,topological,0.38246879046605864,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,0,first,9,zero,0.009807106728108816,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,9,topological,0.4183607637902521,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,1,middle,9,zero,0.0097614660277163,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,9,topological,0.3884625706323631,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,2,middle,9,zero,0.012351619119321759,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,9,topological,0.3930562932052933,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,3,middle,9,zero,0.012873500192463893,
GeneralSheaf,,true,False,True,amazon_ratings,5,5,epoch-1,4,last,9,topological,0.39966519145490703,
